index,Nifty Auto,Nifty Bank,Nifty Consumer Durables,Nifty India Consumption,Nifty Energy,Nifty Financial Services,Nifty FMCG,Nifty Healthcare Index,Nifty Housing,Nifty India Defence,Nifty India Digital,Nifty India Manufacturing,Nifty Infrastructure,Nifty IT,Nifty Media,Nifty Metal,Nifty MNC,Nifty Oil & Gas,Nifty Pharma,Nifty Private Bank,Nifty PSU Bank,Nifty Realty,Nifty Transportation & Logistics
0,ASHOKLEY.NS,AUBANK.NS,AMBER.NS,ADANITRANS.NS,ADANIGREEN.NS,AXISBANK.NS,BRITANNIA.NS,ABBOTINDIA.NS,ACC.NS,ASTRAMICRO.NS,BHARTIARTL.NS,ABB.NS,ACC.NS,COFORGE.NS,DISHTV.NS,APLAPOLLO.NS,3MINDIA.NS,ATGL.NS,ABBOTINDIA.NS,AXISBANK.NS,BANKBARODA.NS,BRIGADE.NS,AIAENG.NS
1,BAJAJ-AUTO.NS,AXISBANK.NS,BATAINDIA.NS,APOLLOHOSP.NS,ADANITRANS.NS,BAJFINANCE.NS,COLPAL.NS,ALKEM.NS,ADANIGREEN.NS,BDL.NS,BSOFT.NS,AIAENG.NS,ADANIPORTS.NS,HCLTECH.NS,HATHWAY.NS,ADANIENT.NS,ABB.NS,AEGISCHEM.NS,ALKEM.NS,BANDHANBNK.NS,BANKINDIA.NS,DLF.NS,ADANIPORTS.NS
2,BALKRISIND.NS,BANDHANBNK.NS,BLUESTARCO.NS,ASIANPAINT.NS,BPCL.NS,BAJAJFINSV.NS,DABUR.NS,APOLLOHOSP.NS,ATGL.NS,BEL.NS,COFORGE.NS,APLAPOLLO.NS,AMBUJACEM.NS,INFY.NS,INOXLEISUR.NS,HINDALCO.NS,ABBOTINDIA.NS,BPCL.NS,AUROPHARMA.NS,CUB.NS,MAHABANK.NS,GODREJPROP.NS,AMARAJABAT.NS
3,BHARATFORG.NS,BANKBARODA.NS,CROMPTON.NS,DMART.NS,GAIL.NS,CHOLAFIN.NS,EMAMILTD.NS,AUROPHARMA.NS,AMBUJACEM.NS,COCHINSHIP.NS,CYIENT.NS,ALOKINDS.NS,APOLLOHOSP.NS,LTTS.NS,NAZARA.NS,HINDCOPPER.NS,AMBUJACEM.NS,CASTROLIND.NS,BIOCON.NS,FEDERALBNK.NS,CANBK.NS,IBREALEST.NS,APOLLOTYRE.NS
4,BOSCHLTD.NS,FEDERALBNK.NS,DIXON.NS,BHARTIARTL.NS,IOC.NS,HDFCAMC.NS,GODREJCP.NS,BIOCON.NS,ASIANPAINT.NS,DATAPATTNS.NS,NYKAA.NS,AMARAJABAT.NS,ASHOKLEY.NS,LTI.NS,NETWORK18.NS,HINDZINC.NS,ASHOKLEY.NS,GAIL.NS,CIPLA.NS,HDFCBANK.NS,CENTRALBK.NS,LODHA.NS,ASHOKLEY.NS
5,EICHERMOT.NS,HDFCBANK.NS,HAVELLS.NS,BRITANNIA.NS,NTPC.NS,HDFCBANK.NS,HINDUNILVR.NS,CIPLA.NS,AXISBANK.NS,GRSE.NS,HCLTECH.NS,ASHOKLEY.NS,BALKRISIND.NS,MPHASIS.NS,PVR.NS,JSWSTEEL.NS,BATAINDIA.NS,GUJGASLTD.NS,DIVISLAB.NS,ICICIBANK.NS,INDIANB.NS,OBEROIRLTY.NS,BAJAJ-AUTO.NS
6,HEROMOTOCO.NS,ICICIBANK.NS,KAJARIACER.NS,COLPAL.NS,ONGC.NS,HDFCLIFE.NS,ITC.NS,DIVISLAB.NS,BANDHANBNK.NS,HAL.NS,HAPPSTMNDS.NS,ASTRAL.NS,BPCL.NS,PERSISTENT.NS,SAREGAMA.NS,JSL.NS,BOSCHLTD.NS,GSPL.NS,DRREDDY.NS,IDFCFIRSTB.NS,IOB.NS,PHOENIXLTD.NS,BALKRISIND.NS
7,MRF.NS,IDFCFIRSTB.NS,ORIENTELEC.NS,CROMPTON.NS,POWERGRID.NS,HDFC.NS,MARICO.NS,LALPATHLAB.NS,BANKBARODA.NS,MTARTECH.NS,HONAUT.NS,ATUL.NS,BHARTIARTL.NS,TCS.NS,SUNTV.NS,JINDALSTEL.NS,BRITANNIA.NS,HINDPETRO.NS,GLAND.NS,INDUSINDBK.NS,PSB.NS,PRESTIGE.NS,BHARATFORG.NS
8,M&M.NS,INDUSINDBK.NS,RAJESHEXPO.NS,DLF.NS,RELIANCE.NS,ICICIBANK.NS,NESTLEIND.NS,DRREDDY.NS,BERGEPAINT.NS,MAZDOCK.NS,INDIAMART.NS,AUROPHARMA.NS,CONCOR.NS,TECHM.NS,TV18BRDCST.NS,MOIL.NS,COLPAL.NS,IOC.NS,GLAXO.NS,KOTAKBANK.NS,PNB.NS,SOBHA.NS,BOSCHLTD.NS
9,MARUTI.NS,KOTAKBANK.NS,RELAXO.NS,DABUR.NS,TATAPOWER.NS,ICICIGI.NS,PGHH.NS,GLAND.NS,CUB.NS,MIDHANI.NS,IRCTC.NS,BAJAJ-AUTO.NS,DLF.NS,WIPRO.NS,ZEEL.NS,NATIONALUM.NS,CUMMINSIND.NS,IGL.NS,GLENMARK.NS,RBLBANK.NS,SBIN.NS,SUNTECK.NS,CARBORUNIV.NS
