Sector: Agriculture,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Tata Consumer Products Ltd.,TATACONSUM,Tea/Coffee,79792.81,2,2023-03,1182.82,78178.69,2023-03,13783.16,1346.52,2,2023-06,63.08,4.17,4.8,0.07,8.58,11.21,"TATACONSUM,"
Shree Renuka Sugars Ltd.,RENUKA,Sugar,9727.2,2,2023-03,5548.6,15090.6,2022-03,6432.63,-136.72,2,2023-03,0,0,-4.93,-2.94,0,8.13,"RENUKA,"
E.I.D. - Parry (India) Ltd.,EIDPARRY,Sugar,8687.71,2,2023-03,1191.06,8412.4,2023-03,35243.8,1827.74,2,2023-03,9.17,0.43,1.43,0.2,32.1,42.65,"EIDPARRY,"
CCL Products (India) Ltd.,CCL,Tea/Coffee,8149.29,2,2023-03,916.1,8981.96,2022-03,1462.03,204.35,2,2023-06,29.4,3.37,5.27,0.52,17.53,15.65,"CCL,"
Balrampur Chini Mills Ltd.,BALRAMCHIN,Sugar,7962.03,2,2023-03,1878.62,9828.76,2023-03,4665.86,284.17,2,2023-03,28.02,6.72,2.75,0.65,10.03,10.44,"BALRAMCHIN,"
Bombay Burmah Trading Corporation Ltd.,BBTC,Agriculture,7852.13,2,2023-03,6522.6,10716.64,2022-03,14544.29,1424.99,2,2023-03,0,,1.95,1.07,26.01,24.46,"BBTC,"
Triveni Engineering & Industries Ltd.,TRIVENI,Sugar,6522.06,2,2023-03,911.3,7353.81,2022-03,4290.94,364.91,2,2023-06,3.64,0.74,2.39,0.82,21.07,18.97,"TRIVENI,"
Gujarat Ambuja Exports Ltd.,GAEL,Solvent  Extraction,5916.85,2,2023-03,220.67,6027.34,2022-03,4670.31,475.44,2,2023-03,17.99,0.53,2.44,0.13,25.19,30.69,"GAEL,"
Tata Coffee Ltd.,TATACOFFEE,Tea/Coffee,4680.47,2,2023-03,1013.06,5371.22,2023-03,2850.16,321.16,2,2023-06,17.67,10.33,2.53,0.56,19.4,17.81,"TATACOFFEE,"
Bannari Amman Sugars Ltd.,BANARISUG,Sugar,3484.53,1,2023-03,580.57,4058.79,2022-03,1998.09,79.98,1,2023-03,24.3,,2.25,0.67,5.76,6.64,"BANARISUG,"
Kaveri Seed Company Ltd.,KSCL,Agriculture,3185.03,2,2023-03,0.61,3164.03,2022-03,969.98,212.8,2,2023-03,11.69,1.28,2.33,0,16.85,17.63,"KSCL,"
Bombay Super Hybrid Seeds Ltd.,BSHSL,Agriculture,3051.58,1,2023-03,52.83,3104.4,2022-03,193.8,10.5,1,2023-06,152.11,2.33,45.56,1,30.7,18.69,"BSHSL,"
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,Sugar,3017.42,2,2023-03,454.07,3402.79,2022-03,3018.25,297.34,1,2023-03,12.15,1.25,1.12,0.35,13.21,13.28,"DALMIASUG,"
Venky'S (India) Ltd.,VENKEYS,Agriculture,2841.2,1,2023-03,185.49,2842.55,2022-03,4400.29,164.78,1,2023-03,40.31,7.04,2.19,0.15,14,17.9,"VENKEYS,"
Apcotex Industries Ltd.,APCOTEXIND,Rubber  Products,2478.71,1,2023-03,151.79,2608.15,2023-03,1079.93,107.94,1,2023-06,28.66,1.31,5.08,0.32,24.75,28.04,"APCOTEXIND,"
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,Sugar,2324.8,2,2023-03,4300.84,6602.24,2023-03,6338.03,-134.73,2,2023-03,0,0,0.53,0.97,-4.03,0.91,"BAJAJHIND,"
Manorama Industries Ltd.,MANORAMA,Solvent  Extraction,1940.55,1,2023-03,110.02,1990.62,2022-03,279.12,24.14,1,2023-03,65.17,0.84,6.51,0.4,11.69,12.95,"MANORAMA,"
Pix Transmissions Ltd.,PIXTRANS,Rubber  Products,1883.89,2,2023-03,68.44,1899.82,2023-03,486.27,64.82,2,2023-03,29.06,1.24,4.51,0.16,16.56,19.55,"PIXTRANS,"
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Sugar,1815.7,2,2023-03,725.9,2485.87,2022-03,1904.05,144.03,2,2023-03,11.55,,1.74,0.99,11.78,11.31,"DHAMPURSUG,"
Dwarikesh Sugar Industries Ltd.,DWARKESH,Sugar,1740.66,1,2023-03,370.76,2071.57,2023-03,2102.96,104.81,1,2023-06,16.46,25.16,2.23,0.5,14.83,15.47,"DWARKESH,"
Rossell India Ltd.,ROSSELLIND,Tea/Coffee,1703.5,2,2023-03,161.61,1863.93,2023-03,353.6,27.65,2,2023-03,61.76,2.6,5.95,0.56,10.37,10.14,"ROSSELLIND,"
The Ugar Sugar Works Ltd.,UGARSUGAR,Sugar,1478.81,2,2023-03,346.76,1807.21,2023-03,1794.18,103.05,2,2023-03,14.44,,6.74,1.57,60.16,29.62,"UGARSUGAR,"
Uttam Sugar Mills Ltd.,UTTAMSUGAR,Sugar,1383.08,1,2023-03,593.4,1966.9,2022-03,2034.35,134.92,1,2023-03,11.19,2.82,2.4,1.38,33.7,22.3,"UTTAMSUGAR,"
Andrew Yule & Company Ltd.,ANDREWYU,Tea/Coffee,1239,2,2023-03,99.87,1289.3,2022-03,414.39,-1.01,2,2023-03,97.83,,3.21,0.18,-0.27,4.31,"ANDREWYU,"
Avadh Sugar & Energy Ltd.,AVADHSUGAR,Sugar,1165.37,1,2023-03,1067.17,2227.92,2023-03,2798.01,100.24,1,2023-03,11.63,4.47,1.31,1.2,11.78,10.69,"AVADHSUGAR,"
Dhampur Bio Organics Ltd.,DBOL,Sugar,1106.68,2,2023-03,803.31,1802.53,2023-03,2407.53,111.1,2,2023-06,9.57,,1.1,0.81,11.9,10.04,"DBOL,"
DCM Shriram Industries Ltd.,DCMSRIND,Sugar,979.36,2,2023-03,495,1449.23,2023-03,2350.92,60.16,2,2023-03,16.28,32.47,1.37,0.69,8.66,10.24,"DCMSRIND,"
Wardwizard Foods and Beverages Ltd.,539132,Solvent  Extraction,767.48,1,2023-03,30.3,797.78,2022-03,,-0.2,1,2023-03,0,,15.64,0.44,-3.13,-1.23,"539132,"
Davangere Sugar Company Ltd.,543267,Sugar,704.69,1,2023-03,244.63,949.32,2021-03,147.47,2.5,1,2023-03,53.33,,2.26,0.54,1.02,5.36,"543267,"
Tierra Agrotech Ltd.,543531,Agriculture,693.28,2,2023-03,102.05,789.18,2022-03,56.61,-13.66,2,2023-06,0,,6.17,1.88,-27.25,-7.78,"543531,"
Apex Frozen Foods Ltd.,APEX,Aquaculture,682.81,1,2023-03,90.58,763,2022-03,914.2,41.08,1,2023-03,19.03,1.84,1.39,0.35,8.98,11.77,"APEX,"
Magadh Sugar & Energy Ltd.,MAGADSUGAR,Sugar,653.08,1,2023-03,582.26,1234.91,2023-03,953.42,50.26,1,2023-03,12.99,0.6,1.02,0.91,8.12,8.75,"MAGADSUGAR,"
Piccadily Agro Industries Ltd.,530305,Sugar,626.04,2,2023-03,153.95,773.85,2022-03,573.52,29.24,2,2023-03,28.03,0.93,2.71,0.65,14.94,17,"530305,"
Kotyark Industries Ltd.,KOTYARK,Agriculture,520.08,1,2023-03,13.66,533.74,2022-03,156.05,8.64,1,2023-03,45.35,,10.09,0.14,57.95,51.01,"KOTYARK,"
Shree Oswal Seeds and Chemicals Ltd.,OSWALSEEDS,Agriculture,515.43,2,2023-03,41.03,556.46,2022-03,240.52,5.44,2,2023-03,90.33,,11.61,1.07,15.11,13.01,"OSWALSEEDS,"
GRP Ltd.,GRPLTD,Rubber  Products,486.67,2,2023-03,88.29,574.27,2023-03,451,13.95,2,2023-03,34.89,0.42,3.3,0.6,9.84,9.25,"GRPLTD,"
Rubfila International Ltd.,500367,Rubber  Products,402.39,2,2023-03,,396.08,2022-03,476.76,44.64,2,2023-03,15.5,,1.6,0,20.64,27.91,"500367,"
Indag Rubber Ltd.,509162,Rubber  Products,399.26,2,2023-03,,396.95,2022-03,166.93,2.28,1,2023-03,30.16,,1.88,0,1.13,1.5,"509162,"
Mawana Sugars Ltd.,MAWANASUG,Sugar,398.25,2,2023-03,381.98,741.08,2023-03,1481.71,13.13,2,2023-03,30.21,0.81,1.03,0.99,3.42,5.51,"MAWANASUG,"
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Agriculture,394.24,2,2023-03,105.21,461.46,2023-03,301.36,35.01,2,2023-03,11.29,,0.69,0.18,6.28,7.06,"NATHBIOGEN,"
Goodricke Group Ltd.,500166,Tea/Coffee,388.04,1,2023-03,57.16,429.55,2023-03,882.2,-0.32,1,2023-03,0,,1.25,0.18,-0.1,2.22,"500166,"
Captain Pipes Ltd.,538817,Rubber  Products,364.4,1,2023-03,2.56,366.97,2022-03,82.72,5.13,1,2023-03,200.77,,13.6,0.26,44.02,43.52,"538817,"
Kothari Sugars And Chemicals Ltd.,KOTARISUG,Sugar,359.74,1,2023-03,37.62,397.09,2023-03,609.97,41.92,1,2023-03,8.58,0.29,1.4,0.15,17.56,20.57,"KOTARISUG,"
Rana Sugars Ltd.,RANASUG,Sugar,357.97,1,2023-03,374.01,701.6,2022-03,1400.29,85.22,1,2023-03,5.65,0.13,0.7,0.42,20.99,23.37,"RANASUG,"
Ponni Sugars (Erode) Ltd.,PONNIERODE,Sugar,338.82,1,2023-03,0,306.91,2023-03,435.43,38.34,1,2023-06,7.91,0.37,0.74,0,9.34,11.68,"PONNIERODE,"
K.C.P. Sugar And Industries Corporation Ltd.,KCPSUGIND,Sugar,319.41,2,2023-03,184.6,456.87,2022-03,319.4,3.58,2,2023-06,3.58,,0.79,0.6,1.14,4.57,"KCPSUGIND,"
Vishwaraj Sugar Industries Ltd.,VISHWARAJ,Sugar,304.02,1,2023-03,355.59,657.02,2022-03,468.75,60.16,1,2023-03,0,0,1.19,1.31,23.66,12.66,"VISHWARAJ,"
Sakthi Sugars Ltd.,SAKHTISUG,Sugar,299.62,1,2022-09,891.94,1185.84,2022-03,788.02,-150.16,1,2023-03,0.8,,-5.41,-2.19,0,14.69,"SAKHTISUG,"
Upsurge Seeds Of Agriculture Ltd.,USASEEDS,Agriculture,287.33,1,2022-03,14.99,302.31,2022-03,75.64,3.96,1,2023-03,60.38,,7.41,1.34,54.92,28.5,"USASEEDS,"
Kings Infra Ventures Ltd.,530215,Aquaculture,285.56,1,2023-03,24.1,309.66,2022-03,39.81,2.96,1,2023-03,49.28,0.96,7.93,0.75,10.31,11.96,"530215,"
Mangalam Seeds Ltd.,539275,Agriculture,266.21,2,2023-03,17.56,283.77,2022-03,40.85,5.17,2,2023-03,24.05,2.23,4.7,0.39,12.08,13.06,"539275,"
Mangalam Global Enterprise Ltd.,MGEL,Agriculture,262.41,2,2023-03,238.31,489.29,2022-03,1277.26,3.61,2,2023-03,20.67,,1.83,1.58,4.99,8.03,"MGEL,"
Jay Shree Tea & Industries Ltd.,JAYSREETEA,Tea/Coffee,254.76,2,2023-03,312.12,557.65,2023-03,812.59,-52.57,2,2023-03,0,,1.13,1.41,-21.19,-2.42,"JAYSREETEA,"
Harrisons Malayalam Ltd.,HARRMALAYA,Agriculture,254.41,2,2023-03,92.16,344.52,2022-03,471.53,23.09,2,2023-03,14.39,0.13,1.64,0.62,18.25,15.76,"HARRMALAYA,"
Raghuvansh Agrofarms Ltd.,538921,Agriculture,244.19,2,2023-03,1.23,237.98,2022-03,22.31,5.88,1,2023-03,50.33,13.11,4.63,0,10.76,12.51,"538921,"
K.M. Sugar Mills Ltd.,KMSUGAR,Sugar,243.43,2,2023-03,267.8,504.86,2022-03,548.34,41.47,2,2023-03,10.45,1.31,1.13,1.17,24.09,17.6,"KMSUGAR,"
Dhunseri Tea & Industries Ltd.,DTIL,Tea/Coffee,222.55,2,2023-03,175.43,376.07,2022-03,349.01,-94.24,2,2023-03,0,0,0.32,0.14,-11.76,-8.56,"DTIL,"
Elgi Rubber Company Ltd.,ELGIRUBCO,Rubber  Products,214.46,2,2023-03,271.03,463.59,2022-03,389.58,-16.35,2,2023-03,31.77,,5.24,1.44,-9.22,0.01,"ELGIRUBCO,"
Neelamalai Agro Industries Ltd.,508670,Tea/Coffee,212.6,2,2023-03,,210.81,2022-03,29.57,-1.3,2,2023-03,7.56,0.33,0.87,0,-0.63,-0.01,"508670,"
JK Agri Genetics Ltd.,536493,Agriculture,212.51,1,2023-03,40.36,247.53,2023-03,200.92,-10.8,1,2023-03,0,,1.63,0.31,-7.92,-4.81,"536493,"
Indrayani Biotech Ltd.,526445,Floriculture,198.31,2,2023-03,62.75,261.06,2022-03,61.57,4.44,2,2023-03,23.03,,4.39,0.74,20.23,16.38,"526445,"
Parvati Sweetners and Power Ltd.,541347,Sugar,196.57,1,2023-03,41.45,238.02,2022-03,71.38,1.25,1,2023-03,145.61,25.91,1.97,0.73,1.96,4,"541347,"
Mcleod Russel India Ltd.,MCLEODRUSS,Tea/Coffee,196.38,2,2023-03,1957.64,2139.28,2022-03,1355.83,-180.92,2,2023-03,0,,0.64,1.52,-12.42,0.09,"MCLEODRUSS,"
Ruchi Infrastructure Ltd.,RUCHINFRA,Solvent  Extraction,176.71,2,2023-03,118.89,270.9,2022-03,69.39,37.17,2,2023-03,140.25,2.68,1.03,0.91,27.43,22.11,"RUCHINFRA,"
SBEC Sugar Ltd.,532102,Sugar,164.64,2,2023-03,120.39,280.12,2022-03,614.01,-8.57,2,2023-03,0,0,-6.82,-12.32,0,5.8,"532102,"
Shri Venkatesh Refineries Ltd.,543373,Solvent  Extraction,151.52,1,2023-03,77.22,228.74,2022-03,611.95,14.07,1,2023-03,10.57,,2.96,1.87,53.34,27.56,"543373,"
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,Sugar,149.94,1,2023-03,399.85,547.89,2022-03,467.67,-3.18,1,2023-03,0,,0.6,1.63,-2.18,3.41,"RAJSREESUG,"
The United Nilgiri Tea Estates Company Ltd.,UNITEDTEA,Tea/Coffee,147.27,1,2023-03,0,140.99,2023-03,83.65,12.12,1,2023-03,12.16,,0.79,0,6.69,8.29,"UNITEDTEA,"
Indian Sucrose Ltd.,500319,Sugar,132.6,1,2023-03,222.75,323.26,2022-03,442.77,37.27,1,2023-03,4.42,0.98,0.73,1.19,28.41,18.36,"500319,"
Himalaya Food lnternational Ltd.,526899,Agriculture,132.41,2,2023-03,,131.84,2022-03,62.59,95.24,2,2023-03,0,,1,0,86.87,47.18,"526899,"
Dolfin Rubbers Ltd.,542013,Rubber  Products,130.24,1,2023-03,13.81,143.24,2023-03,101.65,3.31,1,2023-03,39.3,1.93,5.28,0.56,14.34,15.14,"542013,"
Shree Ram Proteins Ltd.,SRPL,Solvent  Extraction,119.95,1,2023-03,36.95,156.9,2022-03,287.8,6.14,1,2023-03,31.2,0.52,1.14,0.81,12.49,13.79,"SRPL,"
Dollex Agrotech Ltd.,DOLLEX,Sugar,115.35,1,2023-03,38.37,150.13,2022-03,79.4,3.27,1,2023-03,18.89,,3.07,1.68,13.15,9.32,"DOLLEX,"
Nirman Agri Genetics Ltd.,NIRMAN,Agriculture,112.24,2,2023-03,1.09,113.33,2022-03,18.39,2.73,1,2023-03,28.02,,3.91,0.67,160.99,113.54,"NIRMAN,"
Trescon Ltd.,532159,Floriculture,110.47,1,2023-03,0.68,111.14,2022-03,1.2,1.27,1,2023-03,39.23,1.97,1.01,0.01,1.22,1.58,"532159,"
James Warren Tea Ltd.,538564,Tea/Coffee,106.11,1,2023-03,0,106.11,2022-03,111.18,8.25,1,2023-03,11.19,0.21,1.03,0,8,9.11,"538564,"
The Grob Tea Company Ltd.,GROBTEA,Tea/Coffee,102.27,1,2023-03,11.88,105.95,2023-03,102.26,0.6,1,2023-06,929.71,,1.28,0.15,0.77,4.85,"GROBTEA,"
Simbhaoli Sugars Ltd.,SIMBHALS,Sugar,99.07,2,2023-03,1030.13,1079.89,2022-03,1148.96,-22.44,2,2023-03,0,0,-0.99,-15.27,0,0.76,"SIMBHALS,"
Pentagon Rubber Ltd.,PENTAGON,Rubber  Products,93.91,1,2022-03,17.59,110.75,2022-03,35.03,3.09,1,2022-03,30.42,,4.06,3.17,77.14,18.53,"PENTAGON,"
B&A Ltd.,508136,Tea/Coffee,90.24,2,2023-03,30.23,102.93,2022-03,290.38,26.7,2,2023-03,7.9,0.24,0.74,0.21,26,29.73,"508136,"
The Peria Karamalai Tea And Produce Company Ltd.,PKTEA,Tea/Coffee,86,2,2023-03,21.75,95.14,2022-03,47.2,0.5,2,2023-06,65.85,,0.47,0.27,0.27,2.1,"PKTEA,"
Zeal Aqua Ltd.,539963,Aquaculture,83.33,1,2023-03,136.45,219.78,2022-03,345.22,5.75,1,2023-03,11.81,0.45,1.18,2,9.5,9.57,"539963,"
Kesar Enterprises Ltd.,507180,Sugar,78.25,1,2023-03,28.01,97.52,2022-03,469.17,-28.89,1,2023-03,0,,-0.46,-0.77,0,0,"507180,"
MM Rubber Company Ltd.,509196,Rubber  Products,76.08,1,2023-03,2.54,78.26,2022-03,37.18,1.45,1,2023-03,29.72,0.82,5.26,0.45,20.26,18.51,"509196,"
Agri-Tech (India) Ltd.,AGRITECH,Agriculture,71.9,1,2023-03,8.47,80.05,2023-03,0.23,-0.39,1,2023-03,0,,0.79,0.09,-0.42,-0.35,"AGRITECH,"
Somi Conveyor Beltings Ltd.,533001,Rubber  Products,71.04,1,2023-03,17.6,82.87,2022-03,57.23,1.72,1,2023-03,20.5,0.6,1.07,0.44,2.71,6.46,"533001,"
Sir Shadi Lal Enterprises Ltd.,532879,Sugar,65.86,1,2023-03,68.98,131.73,2022-03,469.99,-16.52,1,2023-03,0,,-0.42,-1.11,0,-18.22,"532879,"
Warren Tea Ltd.,508494,Tea/Coffee,62.23,2,2023-03,,44.79,2022-03,89.74,7.1,2,2023-06,0,0,0.67,0.18,6.63,6.27,"508494,"
Shri Vasuprada Plantations Ltd.,538092,Tea/Coffee,60.72,2,2023-03,54.51,111.56,2022-03,122.41,-14.82,2,2023-03,0,,0.48,0.64,-13.34,-2.64,"538092,"
Alfavision Overseas (India) Ltd.,531156,Agriculture,59.84,2,2023-03,160.69,220.53,2022-03,181.57,2.01,2,2023-03,0,,1.49,3.14,7.59,4.72,"531156,"
Gayatri Sugars Ltd.,532183,Sugar,58.65,1,2023-03,151.85,210.51,2022-03,360.7,-8.42,1,2023-03,1.71,,-0.52,-1.27,0,28.83,"532183,"
Simran Farms Ltd.,519566,Agriculture,54.6,2,2023-03,30.17,84.77,2022-03,393.7,10.28,2,2023-03,15.18,0.3,1.77,1.02,46.25,23.8,"519566,"
BN Holdings Ltd.,526125,Solvent  Extraction,53.09,1,2023-03,0.56,53.65,2022-03,,-0.19,1,2023-03,0,,-96.54,-1.76,0,-140.37,"526125,"
Saptarishi Agro Industries Ltd.,519238,Agriculture,52.85,1,2023-03,0.32,53.17,2022-03,43.95,0.56,1,2023-03,88.67,3.02,10.06,0.1,12.64,11.79,"519238,"
Terai Tea Company Ltd.,530533,Tea/Coffee,48.51,2,2023-03,36.21,84.73,2022-03,73.18,9.4,2,2023-03,26.91,0.74,0.33,0.22,6.77,6.58,"530533,"
Naturite Agro Products Ltd.,538926,Agriculture,46.34,1,2023-03,8.37,54.71,2022-03,11.19,0.28,1,2023-03,0,0,3.62,0.39,2.12,3.44,"538926,"
IEL Ltd.,524614,Solvent  Extraction,45.41,1,2023-03,0.9,45.4,2023-03,10.19,2.37,1,2023-06,19.93,0.19,44.12,0.93,0,342.45,"524614,"
Piccadily Sugar & Allied Industries Ltd.,507498,Sugar,41.16,1,2023-03,2.69,43.85,2022-03,29.62,0.01,1,2023-03,0,,2.9,0.21,0.08,2.18,"507498,"
