Sector: Banking,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Year Ending,Interest Earned (Rs Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),Price To Book Value(TTM),Return On Equity(%),Net NPA Statement,Net NPA Year Ending,Net NPA (%),Net Interest Margin (%),Yield On Advances (%),Current A/c Savings A/c (%),Symbol with Comma for External Upload
HDFC Bank Ltd.,HDFCBANK,Bank - Private,1240995.05,2,2023-03,170754.05,46148.7,2,2023-06,25.44,4.08,17.24,1,2023-03,0.27,3.76,10.1,44.39,"HDFCBANK,"
ICICI Bank Ltd.,ICICIBANK,Bank - Private,696508.04,2,2022-03,95406.87,25783.83,2,2023-06,18.68,3.09,15.49,1,2022-03,0.81,3.55,10.06,48.7,"ICICIBANK,"
State Bank Of India,SBIN,Bank - Public,549800.71,2,2023-03,350844.58,56558.43,2,2023-03,9.88,1.66,18.44,1,2023-03,0.67,2.85,10.38,42.67,"SBIN,"
Kotak Mahindra Bank Ltd.,KOTAKBANK,Bank - Private,372999.71,2,2023-03,42151.06,14780.44,2,2023-06,22.86,3.22,14.19,1,2023-03,0.37,4.55,10.71,52.83,"KOTAKBANK,"
Axis Bank Ltd.,AXISBANK,Bank - Private,292613.26,2,2023-03,87448.37,10852.66,2,2023-06,23.35,2.16,8.77,1,2023-03,0.39,3.46,10.07,47.16,"AXISBANK,"
IndusInd Bank Ltd.,INDUSINDBK,Bank - Private,108771.25,2,2022-03,30822.44,4804.64,2,2023-06,13.72,1.92,10.57,1,2022-03,0.64,3.97,12.89,42.79,"INDUSINDBK,"
Bank Of Baroda,BANKBARODA,Bank - Public,104021.95,2,2023-03,94138.61,14687.88,2,2023-03,6.98,0.99,14.92,1,2023-03,0.89,2.96,9.52,39.47,"BANKBARODA,"
Punjab National Bank,PNB,Bank - Public,68202.23,2,2023-03,86845.29,3069.34,2,2023-06,15.47,0.71,3.32,1,2023-03,2.72,2.5,10.25,41.99,"PNB,"
IDBI Bank Ltd.,IDBI,Bank - Private,62374.69,2,2023-03,20591.53,3686.84,2,2023-06,14.97,1.58,10.21,1,2023-03,0.92,3.92,12.65,53.02,"IDBI,"
Canara Bank,CANBK,Bank - Public,62270.02,2,2023-03,85884.73,10807.8,2,2023-06,4.85,0.84,16.37,1,2023-03,1.73,2.43,10.16,31.09,"CANBK,"
