Sector: Construction Materials,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Ultratech Cement Ltd.,ULTRACEMCO,Cement & Construction Materials,239661.63,2,2023-03,9900.78,248412.82,2023-03,63239.98,5073.4,2,2023-06,46.47,3.2,4.29,0.18,9.7,13.2,"ULTRACEMCO,"
Grasim Industries Ltd.,GRASIM,Cement & Construction Materials,120074.97,2,2023-03,101347.92,217709.51,2023-03,117627.08,11078.2,2,2023-03,17.56,1.01,1.53,1.29,14.41,12.63,"GRASIM,"
Ambuja Cements Ltd.,AMBUJACEM,Cement & Construction Materials,90277.36,2,2023-03,47.71,87364.03,2023-03,38937.03,3024.38,2,2023-03,46.91,3.38,3.38,0,11.62,13.73,"AMBUJACEM,"
Shree Cement Ltd.,SHREECEM,Cement & Construction Materials,86780.33,2,2023-03,2539.84,89159.24,2023-03,17852.33,1269.14,2,2023-06,55.4,,4.51,0.14,7.03,8.65,"SHREECEM,"
Dalmia Bharat Ltd.,DALBHARAT,Cement & Construction Materials,36646.79,2,2023-03,3742,40103.79,2023-03,13540,1083,2,2023-06,37.84,1.18,2.33,0.24,6.84,8.09,"DALBHARAT,"
ACC Ltd.,ACC,Cement & Construction Materials,36620.39,2,2023-03,0,36205.68,2023-03,22210.18,885.21,2,2023-06,50.15,19.91,2.5,0,6.22,9,"ACC,"
JK Cement Ltd.,JKCEMENT,Cement & Construction Materials,25100.98,2,2023-03,4995.11,29262.82,2023-03,9720.2,419.08,2,2023-03,58.88,8.63,5.36,1.07,9.3,10.56,"JKCEMENT,"
Kajaria Ceramics Ltd.,KAJARIACER,Ceramics/Marble/Granite/Sanitaryware,22266.7,2,2023-03,209.27,22082.19,2022-03,3705.19,382.74,2,2023-06,62.05,7.46,9.16,0.06,19.21,24.79,"KAJARIACER,"
The Ramco Cements Ltd.,RAMCOCEM,Cement & Construction Materials,20798.46,2,2023-03,4487.42,25115.55,2023-03,8157.26,341.99,2,2023-03,66.08,,3.03,0.65,5.07,6.51,"RAMCOCEM,"
Century Plyboards (India) Ltd.,CENTURYPLY,Wood & Wood Products,14686.75,2,2023-03,313.41,14721.95,2022-03,3027.02,313.16,2,2023-03,38.33,3.67,7.68,0.16,22.18,29.63,"CENTURYPLY,"
Asahi India Glass Ltd.,ASAHIINDIA,Glass,13544.97,2,2023-03,1353.38,14898.35,2022-03,3170.41,331.37,2,2023-03,37.24,2.08,6.55,0.68,20.7,20.91,"ASAHIINDIA,"
Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement & Construction Materials,13127.27,2,2023-03,4617.7,17541.82,2023-03,10586.17,15.86,2,2023-03,827.92,38.19,1.49,0.52,0.18,-0.96,"NUVOCO,"
Cera Sanitaryware Ltd.,CERA,Ceramics/Marble/Granite/Sanitaryware,9982.4,2,2023-03,25.35,9981.56,2023-03,1803.5,211.05,2,2023-03,47.78,3.03,8.53,0.02,19.29,25.1,"CERA,"
