Sector: Consumer Durables,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Honeywell Automation India Ltd.,HONAUT,Consumer Durables - Electronics,37125.56,1,2023-03,18.83,34764.88,2023-03,3447.59,438.01,1,2023-03,84.76,7.13,11.69,0.01,14.59,19.72,"HONAUT,"
Voltas Ltd.,VOLTAS,Air Conditioners,25246.51,2,2023-03,650.58,25188.71,2023-03,9498.77,136.22,2,2023-03,187,,4.63,0.12,2.49,5.63,"VOLTAS,"
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables - Electronics,24213.59,2,2023-03,182.62,24167.03,2022-03,10697.08,190.39,2,2023-06,86.91,2.72,17.95,0.46,22.21,25.91,"DIXON,"
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables - Domestic Appliances,18774.59,2,2023-03,922.18,19587.29,2023-03,6869.61,476.4,2,2023-03,39.41,4.91,7.4,0.37,19.71,18.88,"CROMPTON,"
Whirlpool Of India Ltd.,WHIRLPOOL,Consumer Durables - Domestic Appliances,18203.57,2,2023-03,,16522.22,2022-03,6196.57,567.37,2,2023-03,82.91,,5.16,0,18.6,21.44,"WHIRLPOOL,"
Blue Star Ltd.,BLUESTARCO,Air Conditioners,14744.69,2,2023-03,577.64,15075.06,2023-03,7977.32,400.69,2,2023-03,36.71,3.46,10.89,0.43,34.13,35.85,"BLUESTARCO,"
Bajaj Electricals Ltd.,BAJAJELEC,Consumer Durables - Domestic Appliances,14236.11,2,2023-03,0.17,13865.81,2023-03,5429.26,216.19,2,2023-03,65.81,11.18,7.53,0,11.98,19.1,"BAJAJELEC,"
Tejas Networks Ltd.,TEJASNET,IT - Hardware,14015.29,2,2023-03,0,13273.48,2023-03,919.57,-36.41,2,2023-06,0,,4.89,0,-1.64,-1.12,"TEJASNET,"
Eureka Forbes Ltd.,543482,Consumer Durables - Domestic Appliances,10780.66,2,2023-03,121.02,10880.6,2022-03,381.75,2.62,2,2023-03,405.05,,2.63,0.06,0.13,0.53,"543482,"
TTK Prestige Ltd.,TTKPRESTIG,Consumer Durables - Domestic Appliances,10768.23,2,2023-03,40.75,10213.42,2023-03,2777.13,254.95,2,2023-03,42.08,3.1,5.52,0.02,13.92,18.87,"TTKPRESTIG,"
Amber Enterprises India Ltd.,AMBER,Air Conditioners,8199.87,2,2023-03,1455.11,9095.54,2023-03,6927.1,163.78,2,2023-06,51,2.51,4.29,0.78,9.14,10.75,"AMBER,"
Symphony Ltd.,SYMPHONY,Consumer Durables - Domestic Appliances,5985.47,2,2023-03,196.83,6125.58,2023-03,1187.56,115.88,2,2023-06,53.53,,8.51,0.22,13.47,15.3,"SYMPHONY,"
Borosil Ltd.,BOROLTD,Consumer Durables - Domestic Appliances,5158.85,2,2023-03,97.06,5244.63,2023-03,1027.12,90.21,2,2023-03,57.38,,6,0.11,11.13,14.03,"BOROLTD,"
Netweb Technologies India Ltd.,NETWEB,IT - Hardware,5038.28,1,2023-03,30.4,5055.06,2023-03,444.97,46.94,1,2023-03,107.34,,6.53,0.33,69.17,66.37,"NETWEB,"
Orient Electric Ltd.,ORIENTELEC,Consumer Durables - Domestic Appliances,4892.48,1,2023-03,10.1,4738.36,2023-03,2529.17,75.85,1,2023-03,64.5,18.72,8.32,0.02,13.64,21.57,"ORIENTELEC,"
Hindware Home Innovation Ltd.,HINDWAREAP,Consumer Durables - Domestic Appliances,4521.78,2,2023-03,711.68,5224.19,2022-03,2293.63,203.49,2,2023-03,79.13,,7.85,0.27,47.53,44.69,"HINDWAREAP,"
IFB Industries Ltd.,IFBIND,Consumer Durables - Domestic Appliances,3516.42,2,2023-03,204.09,3623.46,2023-03,4194.99,14.94,2,2023-03,236.5,,5.3,0.31,2.27,7.44,"IFBIND,"
Hawkins Cookers Ltd.,508486,Consumer Durables - Domestic Appliances,3507.78,1,2023-03,42.31,3451.54,2023-03,1005.8,94.78,1,2023-03,37.01,2.6,12.7,0.15,38.74,45.83,"508486,"
PG Electroplast Ltd.,PGEL,Consumer Durables - Domestic Appliances,3452.35,2,2023-03,542.52,3955.25,2022-03,1097.72,37.42,2,2023-03,44.27,,8.66,1.24,14.95,13.35,"PGEL,"
Johnson Controls - Hitachi Air Conditioning India Ltd.,JCHAC,Air Conditioners,2591.97,1,2023-03,143.03,2712.88,2022-03,2159.04,16.12,1,2023-06,0,,4.19,0.06,2.21,4.21,"JCHAC,"
Butterfly Gandhimathi Appliances Ltd.,BUTTERFLY,Consumer Durables - Domestic Appliances,2115.6,1,2023-03,1.2,2055.2,2023-03,1056.55,51.67,1,2023-03,40.95,0.67,7.43,0,19.91,30.61,"BUTTERFLY,"
KDDL Ltd.,KDDL,Watches & Accessories,1977.92,2,2023-03,127.55,1839.25,2022-03,816.24,37.15,2,2023-03,36.73,0.51,4.31,0.62,16.98,22,"KDDL,"
Nelco Ltd.,NELCO,IT - Hardware,1810.07,2,2023-03,37.94,1831.37,2023-03,313.33,19.85,2,2023-06,86.77,8.35,16.41,0.36,20.51,25.52,"NELCO,"
Timex Group India Ltd.,500414,Watches & Accessories,1576.84,1,2023-03,24.64,1600.18,2023-03,383.45,46.52,1,2023-03,33.9,0.77,-112.84,0.41,0,56.29,"500414,"
Stove Kraft Ltd.,STOVEKRAFT,Consumer Durables - Domestic Appliances,1554.08,1,2023-03,128.78,1663.09,2022-03,1136.36,56.22,1,2023-03,43.45,1.16,3.85,0.43,16.95,17.52,"STOVEKRAFT,"
Control Print Ltd.,CONTROLPR,IT - Hardware,1081.32,2,2023-03,1.37,1065.69,2023-03,304.29,52.85,2,2023-03,20.49,2.49,3.83,0,20.14,24.7,"CONTROLPR,"
TVS Electronics Ltd.,TVSELECT,IT - Hardware,710.86,1,2023-03,9.44,708.95,2023-03,353.49,9.52,1,2023-03,74.67,,6.98,0.09,9.79,13.69,"TVSELECT,"
HCL Infosystems Ltd.,HCL-INSYS,IT - Hardware,530.69,2,2023-03,355.01,704.97,2022-03,69.44,24.52,2,2023-03,0,0,-2.09,-1.92,0,16.73,"HCL-INSYS,"
Silver Touch Technologies Ltd.,SILVERTUC,IT - Hardware,496.65,2,2023-03,10.88,491.77,2022-03,139.59,6.31,2,2023-03,51.13,5.52,5.22,0,7.87,11.7,"SILVERTUC,"
Mirc Electronics Ltd.,MIRCELECTR,Consumer Durables - Electronics,485,1,2023-03,79.36,553.76,2023-03,1110.22,-12.47,1,2023-03,0,,2.54,0.42,-6.33,-0.58,"MIRCELECTR,"
Singer India Ltd.,505729,Consumer Durables - Domestic Appliances,452.52,1,2023-03,,370.8,2022-03,452.98,7.67,1,2023-03,54.39,446.03,3.33,0,10.28,14.57,"505729,"
E2E Networks Ltd.,E2E,IT - Hardware,380.62,1,2023-03,0.6,359.65,2022-03,51.87,6.45,1,2023-03,38.41,5.05,9.01,0.03,22.08,17.12,"E2E,"
Foce India Ltd.,FOCE,Watches & Accessories,366.48,2,2023-03,26.38,392.86,2022-03,187.06,9.08,1,2023-03,0,,10.48,0.04,35.71,43.69,"FOCE,"
Wonder Electricals Ltd.,WEL,Consumer Durables - Electronics,339.64,1,2023-03,24.22,363.86,2022-03,398.36,7.28,1,2023-03,53.99,7.29,5.7,0.36,14.58,19.76,"WEL,"
Swiss Military Consumer Goods Ltd.,523558,IT - Hardware,273.86,1,2023-03,0,273.86,2022-03,55.5,2.75,2,2023-03,44.34,0.9,,0.41,26.51,19.99,"523558,"
Greenchef Appliances Ltd.,GREENCHEF,Consumer Durables - Domestic Appliances,251.92,2,2022-03,66.87,316.97,2022-03,335.78,0.82,1,2022-03,491.38,,2.13,1.29,1.6,6.04,"GREENCHEF,"
DC Infotech and Communication Ltd.,DCI,IT - Hardware,187.32,1,2023-03,23.52,207.38,2022-03,232.51,4,1,2023-03,26.47,,6.34,0.79,19.58,18.45,"DCI,"
Ducon Infratechnologies Ltd.,534674,IT - Hardware,184.56,2,2023-03,94.91,269.12,2022-03,384.36,4.43,2,2023-03,45.09,,1.51,0.61,3.54,7.13,"534674,"
Sharp India Ltd.,523449,Air Conditioners,145.29,1,2022-09,75.62,220.91,2022-03,0.12,-14.71,1,2022-12,0,,-1.85,-1.02,0,-786.49,"523449,"
Accel Ltd.,517494,IT - Hardware,114.97,2,2023-03,66.33,177.95,2022-03,111.66,5.89,2,2023-03,38.13,1.34,2.95,1,9.64,9.22,"517494,"
MRO-TEK Realty Ltd.,MRO-TEK,IT - Hardware,112.11,1,2023-03,80.34,192.24,2022-03,122.61,78.69,1,2023-03,0,0,1.7,1.03,259.99,89.73,"MRO-TEK,"
Sonam Clock Ltd.,SONAMCLOCK,Consumer Durables - Domestic Appliances,104.88,1,2023-03,25.77,130.65,2022-03,87.41,3.4,1,2023-03,26.21,0.82,2.71,0.86,10.3,10.35,"SONAMCLOCK,"
Compuage Infocom Ltd.,COMPINFO,IT - Hardware,103.69,2,2023-03,475.71,494.8,2022-03,4207.5,26.75,2,2023-03,0,0,0.6,2.24,11.38,13.6,"COMPINFO,"
Panache Digilife Ltd.,PANACHE,IT - Hardware,80.7,2,2023-03,34.2,114.66,2022-03,85.28,1.46,2,2023-03,97.94,,2.54,0.78,4.87,10.25,"PANACHE,"
Comrade Appliances Ltd.,543921,Consumer Durables - Domestic Appliances,73.56,1,2023-03,13.51,86.47,2023-03,26.96,1.64,1,2023-03,44.97,,3.83,1.96,27.45,19.92,"543921,"
Arham Technologies Ltd.,ARHAM,Consumer Durables - Electronics,68.91,1,2023-03,12.02,80.92,2022-03,36.47,3.02,1,2023-03,19.4,,5.09,1.45,53.7,35.29,"ARHAM,"
Gorani Industries Ltd.,531608,Consumer Durables - Domestic Appliances,67.41,1,2023-03,11.42,78.82,2022-03,28.76,1.66,1,2023-03,44.97,1.01,5.99,1.02,25.29,20.63,"531608,"
PCS Technology Ltd.,517119,IT - Hardware,30.06,2,2023-03,3.85,33.91,2022-03,0.28,0.86,2,2023-03,75.73,,0.7,0.09,2.02,3.14,"517119,"
Thakral Services (India) Ltd.,509015,Consumer Durables - Electronics,21.94,1,2023-03,13,33.46,2022-03,16.59,-2.35,1,2023-03,0,,-4.12,-5.31,0,-26.01,"509015,"
