Sector: Crude Oil,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Reliance Industries Ltd.,RELIANCE,Refineries,1710201.71,2,2023-03,314708,2024909.71,2022-03,699962,67565,2,2023-06,26.41,1.87,2.04,0.34,9.39,9.86,"RELIANCE,"
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Exploration,216066.3,2,2023-03,129185.56,316111.53,2022-03,491269.8,47830.13,2,2023-03,6.1,0.41,0.77,0.42,19.91,16.86,"ONGC,"
Indian Oil Corporation Ltd.,IOC,Refineries,134547.16,2,2023-03,140114.82,272565.34,2022-03,589335.74,25726.6,2,2023-06,5.49,1.14,0.96,0.93,20.97,16.63,"IOC,"
Bharat Petroleum Corporation Ltd.,BPCL,Refineries,81010.74,2,2023-03,60454.61,138890.97,2022-03,346791.08,11681.5,2,2023-06,4.28,1.1,1.27,1.09,22.33,17.85,"BPCL,"
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Refineries,39648.43,2,2023-03,67048.3,106024.33,2022-03,349913.18,7294.23,2,2023-03,0,,1.23,1.09,18.35,12.28,"HINDPETRO,"
Oil India Ltd.,OIL,Oil Exploration,29430.76,2,2023-03,18548.88,44520.34,2022-03,25905.59,6719.22,2,2023-03,3.37,0.22,0.76,0.54,24.78,22.05,"OIL,"
Mangalore Refinery And Petrochemicals Ltd.,MRPL,Refineries,14746.37,2,2023-03,16707.37,31414.82,2022-03,69727.08,2958.25,2,2023-03,5.55,0.57,1.49,2.92,51.64,13.92,"MRPL,"
Chennai Petroleum Corporation Ltd.,CHENNPETRO,Refineries,5922.95,2,2023-03,4235.46,10149.77,2022-03,43375.38,1336.44,2,2023-06,3.42,0.66,0.84,3.13,58.98,19.55,"CHENNPETRO,"
Rain Industries Ltd.,RAIN,Petrochemicals,5638.84,2,2022-12,9225.13,13193.35,2022-12,21011,1576.9,2,2023-03,4.45,0.51,0.66,1.09,21.7,17.93,"RAIN,"
Hindustan Oil Exploration Company Ltd.,HINDOILEXP,Oil Exploration,2971.51,2,2023-03,364.2,3257.64,2022-03,155.73,19.99,2,2023-03,15.31,0.31,3.14,0.47,2.69,2.78,"HINDOILEXP,"
Jindal Drilling & Industries Ltd.,JINDRILL,Oil Exploration,1187.65,2,2023-03,206.71,1294.4,2022-03,419.86,64.47,2,2023-03,12.28,,0.91,0.18,5.57,6.85,"JINDRILL,"
Tamilnadu Petroproducts Ltd.,TNPETRO,Petrochemicals,713.11,2,2023-03,61.92,401.71,2022-03,1805.58,175.37,2,2023-03,7.57,0.1,0.86,0.06,26.19,34,"TNPETRO,"
