Sector: Diamond & Jewellery,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Titan Company Ltd.,TITAN,Diamond  &  Jewellery,265288.26,2,2023-03,7494,271439.26,2023-03,40575,3274,2,2023-03,81.63,3.52,22.4,0.63,30.97,27.47,"TITAN,"
Kalyan Jewellers India Ltd.,KALYANKJIL,Diamond  &  Jewellery,18051.68,2,2023-03,3508.55,20578.35,2023-03,14071.45,431.93,2,2023-03,41.68,1.69,4.97,0.97,12.76,13.56,"KALYANKJIL,"
Rajesh Exports Ltd.,RAJESHEXPO,Diamond  &  Jewellery,15108.45,2,2023-03,724.01,13736.11,2022-03,243127.94,1009.18,2,2023-03,10.58,,1.03,0.07,8.53,8.85,"RAJESHEXPO,"
Thangamayil Jewellery Ltd.,THANGAMAYL,Diamond  &  Jewellery,3601.25,1,2023-03,531.38,4056.24,2023-03,3152.55,79.75,1,2023-06,30.17,1.06,7.81,1.37,22.37,17.55,"THANGAMAYL,"
Senco Gold Ltd.,SENCO,Diamond  &  Jewellery,3217.97,2,2023-03,1177.17,3957.57,2023-03,4077.4,158.48,1,2023-03,20,,2.38,1.25,19.28,16.94,"SENCO,"
PC Jeweller Ltd.,PCJEWELLER,Diamond  &  Jewellery,1398.54,2,2023-03,3630.38,4986.85,2022-03,1606.13,-391,2,2023-03,0,,0.38,0.85,-9.72,-0.96,"PCJEWELLER,"
Goldiam International Ltd.,GOLDIAM,Diamond  &  Jewellery,1377.98,2,2023-03,0,1271.99,2022-03,687.74,105.96,2,2023-03,16.19,0.38,2.35,0.01,21.52,29.6,"GOLDIAM,"
Asian Star Company Ltd.,531847,Diamond  &  Jewellery,1147.45,2,2023-03,628.21,1457.04,2022-03,4422.61,94.04,2,2023-03,13.56,1.64,0.78,0.53,7.44,6.5,"531847,"
Renaissance Global Ltd.,RGL,Diamond  &  Jewellery,943.03,2,2023-03,462.32,1259.63,2023-03,2236.56,87.81,2,2023-03,10.83,1.62,0.92,0.45,9.07,9.81,"RGL,"
Tribhovandas Bhimji Zaveri Ltd.,TBZ,Diamond  &  Jewellery,601.98,2,2023-03,486.65,1043.05,2022-03,1843.84,20.18,2,2023-03,15.01,1.61,1.08,0.96,3.84,6.9,"TBZ,"
D.P. Abhushan Ltd.,DPABHUSHAN,Diamond  &  Jewellery,579.96,2,2023-03,107.93,687.89,2022-03,1731.38,40.53,1,2023-03,12.8,,3.2,1.16,34.48,25.43,"DPABHUSHAN,"
Starlineps Enterprises Ltd.,540492,Diamond  &  Jewellery,466.02,1,2023-03,0,466.02,2022-03,16.17,0.31,1,2023-03,761.47,26.98,19.03,0,1.29,1.69,"540492,"
Radhika Jeweltech Ltd.,RADHIKAJWE,Diamond  &  Jewellery,414.42,1,2023-03,33.8,448.21,2022-03,232.78,27.06,1,2023-03,13.96,0.58,1.92,0.12,15.4,18.56,"RADHIKAJWE,"
Sky Gold Ltd.,SKYGOLD,Diamond  &  Jewellery,290.08,1,2023-03,145.93,436.01,2022-03,785.58,16.92,1,2023-03,15.59,0.2,2.96,1.32,27.86,20.71,"SKYGOLD,"
Ashapuri Gold Ornament Ltd.,542579,Diamond  &  Jewellery,262.99,1,2023-03,6.9,269.88,2022-03,163.84,3.07,1,2023-03,147.08,1.06,3.19,0.05,3.88,5.2,"542579,"
Uday Jewellery Industries Ltd.,539518,Diamond  &  Jewellery,245.65,1,2023-03,33.21,278.86,2022-03,121.54,5.71,1,2023-06,24.85,0.69,3.5,0.47,10.41,11.47,"539518,"
Kenvi Jewels Ltd.,540953,Diamond  &  Jewellery,139.27,1,2023-03,1.02,140.29,2022-03,66.85,0.41,1,2023-03,258.39,3.33,8.59,0.03,3.15,5.41,"540953,"
Narbada Gems And Jewellery Ltd.,519455,Diamond  &  Jewellery,115.27,1,2023-03,29.51,144.77,2022-03,60.63,3.46,1,2023-03,32.45,0.46,2.59,0.37,11.08,11.82,"519455,"
Patdiam Jewellery Ltd.,539401,Diamond  &  Jewellery,100.15,1,2023-03,9.64,109.8,2022-03,105.73,6.25,1,2023-03,12.17,0.28,2.21,0.1,14.81,19.58,"539401,"
Shubhlaxmi Jewel Art Ltd.,SHUBHLAXMI,Diamond  &  Jewellery,98.62,1,2023-03,11.53,110.14,2022-03,61.7,0.78,1,2023-03,97.16,,4.82,0.4,4.92,8.64,"SHUBHLAXMI,"
Atlas Jewellery India Ltd.,514394,Diamond  &  Jewellery,93.31,1,2021-09,0,93.06,2021-03,1.31,-5,1,2021-12,61.14,,0.57,0,-3.05,-2.93,"514394,"
Kanani Industries Ltd.,KANANIIND,Diamond  &  Jewellery,76.67,2,2023-03,31.36,108.03,2022-03,290.73,1.81,2,2023-03,35.28,1.21,1.22,0.42,3.13,3.54,"KANANIIND,"
Moksh Ornaments Ltd.,MOKSH,Diamond  &  Jewellery,74.05,1,2023-03,27.55,96.38,2022-03,324.03,5.13,1,2023-06,11.67,1.1,1.41,0.08,12.06,12.57,"MOKSH,"
Sona Hi Sona Jewellers (Gujarat) Ltd.,SONAHISONA,Diamond  &  Jewellery,72.68,1,2023-03,14.02,86.7,2022-03,76.98,0.09,1,2023-03,48.13,6.31,3.4,0.74,0.42,4.45,"SONAHISONA,"
Golkunda Diamonds & Jewellery Ltd.,523676,Diamond  &  Jewellery,72.18,1,2023-03,40.18,100.3,2023-03,233.44,9.43,1,2023-03,7.66,0.12,1.59,0.88,22.84,18.47,"523676,"
Laxmi Goldorna House Ltd.,LGHL,Diamond  &  Jewellery,67.62,1,2023-03,31.73,99.35,2021-03,76.59,0.12,1,2023-03,171.2,10.94,2.12,0.46,0.45,4.53,"LGHL,"
Gautam Gems Ltd.,540936,Diamond  &  Jewellery,49.61,1,2023-03,6.22,55.83,2022-03,180.06,0.52,1,2023-06,111.99,0.39,0.96,0.58,3.74,4.85,"540936,"
Dev Labtech Venture Ltd.,543848,Diamond  &  Jewellery,48.28,1,2023-03,1.13,49.41,2022-03,26.85,0.44,1,2023-03,47.38,,2.23,0.64,25.62,22.16,"543848,"
Swarnsarita Jewels India Ltd.,526365,Diamond  &  Jewellery,45.11,2,2023-03,120.82,147.76,2022-03,841.63,7.5,2,2023-03,7.25,0.35,0.39,1.13,6.96,7.55,"526365,"
UH Zaveri Ltd.,541338,Diamond  &  Jewellery,43.58,1,2023-03,,43.58,2022-03,15.94,0.52,1,2023-03,52.44,,2.99,0,3.9,4.2,"541338,"
Sagar Diamonds Ltd.,540715,Diamond  &  Jewellery,43.06,1,2022-03,2.39,32.25,2022-03,6257.43,29.08,1,2022-03,1.48,0.01,0.48,0.03,38.52,45.31,"540715,"
Minal Industries Ltd.,522235,Diamond  &  Jewellery,41.83,2,2023-03,10.92,52.75,2022-03,28.24,0.66,2,2023-03,133.23,8.15,0.76,0.15,1.24,2.1,"522235,"
Penta Gold Ltd.,PENTAGOLD,Diamond  &  Jewellery,37.28,1,2021-03,121.53,155.85,2021-03,153.12,0.12,1,2022-03,0,,0.99,3.21,0.32,3.03,"PENTAGOLD,"
Deep Diamond India Ltd.,539559,Diamond  &  Jewellery,28.88,1,2023-03,3.86,32.74,2022-03,1.39,0.2,1,2023-03,23.01,1.01,1.96,0,2.6,3.49,"539559,"
Goenka Diamond and Jewels Ltd.,GOENKA,Diamond  &  Jewellery,26.31,2,2023-03,181.25,207.56,2022-03,4.26,-2.74,2,2023-03,0,0,0.11,0.73,-1.13,-0.52,"GOENKA,"
SJ Corporation Ltd.,504398,Diamond  &  Jewellery,25.98,1,2023-03,0.77,26.75,2022-03,14.38,0.03,1,2023-03,73.38,4.72,3,0,0.35,0.47,"504398,"
Orosil Smiths India Ltd.,531626,Diamond  &  Jewellery,22.15,1,2023-03,0,22.15,2022-03,0.94,-0.19,1,2023-03,0,0,23.95,0.08,-14.06,-7.45,"531626,"
Zodiac-JRD-MKJ Ltd.,512587,Diamond  &  Jewellery,19.78,1,2023-03,,12.86,2022-03,19.02,0.68,1,2023-03,20.1,,0.29,0,1.01,1.53,"512587,"
Bhakti Gems & Jewellery Ltd.,540545,Diamond  &  Jewellery,17.64,1,2023-03,8.82,26.46,2022-03,87.76,0.88,1,2023-03,22.16,0.57,0.78,0.84,5.67,6.41,"540545,"
SM Gold Ltd.,542034,Diamond  &  Jewellery,14.25,1,2023-03,13.32,27.58,2022-03,51.09,1.68,1,2023-06,11.58,,0.86,0.59,11.76,10.6,"542034,"
Darshan Orna Ltd.,539884,Diamond  &  Jewellery,13.71,1,2023-03,,13.71,2022-03,13.1,0.79,1,2023-03,232.34,3.8,1.05,0,6.28,7.41,"539884,"
Sovereign Diamonds Ltd.,523826,Diamond  &  Jewellery,13.53,1,2023-03,12.65,26.18,2022-03,22.91,1.33,1,2023-03,9.59,1.8,0.87,0.8,9.91,8.85,"523826,"
Shukra Jewellery Ltd.,523790,Diamond  &  Jewellery,7.25,2,2023-03,0.45,7.7,2022-03,2.2,0.07,2,2023-03,0,0,0.2,0.01,0.2,0.39,"523790,"
Mini Diamonds (India) Ltd.,523373,Diamond  &  Jewellery,7.01,1,2023-03,13.22,20.23,2022-03,90.68,0.21,1,2023-03,12.43,,1.07,0.66,3.73,2.25,"523373,"
Sunraj Diamond Exports Ltd.,523425,Diamond  &  Jewellery,4,2,2023-03,16.48,20.48,2022-03,4.38,0.24,2,2023-03,4.94,0.31,2.56,22.63,63.59,2.6,"523425,"
Shukra Bullions Ltd.,531506,Diamond  &  Jewellery,3.35,1,2023-03,,3.35,2022-03,16.57,0,1,2023-03,371.69,13.82,1.85,0,0.22,0.41,"531506,"
Neogem India Ltd.,526195,Diamond  &  Jewellery,1.9,1,2023-03,17.57,19.47,2022-03,,-0.07,1,2023-03,0,0,0.29,2.73,-1,-0.27,"526195,"
Laser Diamonds Ltd.,531164,Diamond  &  Jewellery,0.22,1,2023-03,0.32,0.54,2022-03,,-0.04,1,2023-03,0,0,1.06,1.05,-15.91,-10.83,"531164,"
