Sector: Electricals,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Polycab India Ltd.,POLYCAB,Cable,71185.03,2,2023-03,155.14,70644.93,2023-03,14107.78,1282.25,2,2023-06,49.06,1.7,10.16,0.02,21.18,28.47,"POLYCAB,"
KEI Industries Ltd.,KEI,Cable,21986.21,2,2023-03,135.25,21584.29,2022-03,5726.55,375.98,2,2023-03,46.06,1.44,8.49,0.16,19.33,24.1,"KEI,"
Finolex Cables Ltd.,FINCABLES,Cable,15911.81,2,2023-03,0.28,15838.74,2022-03,3768.14,599.14,2,2023-03,31.55,3.76,3.64,0,16.33,21.48,"FINCABLES,"
Kaynes Technology India Ltd.,KAYNES,Electronics - Components,10403.15,2,2023-03,135.9,10053.05,2022-03,706.25,41.68,2,2023-03,109.2,2.65,10.84,0.84,24.53,26.49,"KAYNES,"
Olectra Greentech Ltd.,OLECTRA,Electronics - Components,9664.19,2,2023-03,133.7,9630.67,2022-03,593.26,35.36,2,2023-03,147.33,4.2,11.51,0.09,4.66,7.73,"OLECTRA,"
Syrma SGS Technology Ltd.,SYRMA,Electronics - Components,8312.98,2,2023-03,346.84,8605.39,2022-03,1019.72,54.14,2,2023-03,69.67,,5.4,0.34,13.37,16.9,"SYRMA,"
Sterlite Technologies Ltd.,STLTECH,Cable,5958.16,2,2023-03,3667,9118.16,2023-03,6925,231,2,2023-06,27.97,,2.83,1.77,11.56,11.36,"STLTECH,"
Avalon Technologies Ltd.,AVALON,Electronics - Components,3855.85,2,2023-03,306.26,3739.87,2023-03,944.72,52.5,2,2023-03,73.89,,3.59,1.41,34.37,17.53,"AVALON,"
IKIO Lighting Ltd.,IKIO,Electronics - Components,3252.74,2,2022-03,106.56,3356.58,2022-03,331.84,50.52,1,2022-03,116.13,,4.56,0.98,58.83,42.85,"IKIO,"
DCX Systems Ltd.,DCXINDIA,Electronics - Components,2704.88,2,2023-03,509.48,2618.51,2022-03,1102.27,65.61,2,2023-03,37.73,,4.77,4.27,79.83,21.63,"DCXINDIA,"
Centum Electronics Ltd.,CENTUM,Electronics - Components,1870.42,2,2023-03,262.76,2090.98,2023-03,922.97,6.69,2,2023-03,190.99,9.42,8.96,1.26,3.24,8.31,"CENTUM,"
Precision Wires India Ltd.,PRECWIRE,Cable,1605.58,1,2023-03,16.17,1542.5,2022-03,2683.14,63.01,1,2023-03,26.99,1.16,3.57,0.06,18.51,30.09,"PRECWIRE,"
