Sector: Hospitality,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
The Indian Hotels Company Ltd.,INDHOTEL,"Hotel, Resort & Restaurants",55622.85,2,2023-03,818.26,55387.68,2023-03,5809.91,971.43,2,2023-06,52.72,0.79,6.79,0.1,12.91,17.15,"INDHOTEL,"
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Travel Services,50444,1,2023-03,,48510.27,2022-03,1879.48,663.69,1,2023-03,50.15,1.94,20.35,0,39.75,53.93,"IRCTC,"
Westlife Foodworld Ltd,WESTLIFE,"Hotel, Resort & Restaurants",14634.61,2,2023-03,,14606.2,2022-03,1576.49,-1.67,2,2023-06,125.46,9.47,24.65,0.44,-0.36,11.85,"WESTLIFE,"
EIH Ltd.,EIHOTEL,"Hotel, Resort & Restaurants",13404.68,2,2023-03,57.05,13002.83,2023-03,2018.81,339.17,2,2023-03,42.47,2.58,3.96,0.02,10.6,14.71,"EIHOTEL,"
Chalet Hotels Ltd.,CHALET,"Hotel, Resort & Restaurants",9741.76,2,2023-03,2793.87,12413.65,2023-03,1128.47,183.29,2,2023-03,53.45,1.44,6.38,1.82,12.77,10.41,"CHALET,"
BLS International Services Ltd.,BLS,Travel Services,8736.09,2,2023-03,,8260.16,2022-03,849.89,111.2,2,2023-03,43.52,2.51,10.88,0.01,21.6,22.42,"BLS,"
Lemon Tree Hotels Ltd.,LEMONTREE,"Hotel, Resort & Restaurants",7212.61,2,2023-03,1745.73,8930.86,2022-03,402.24,-138.4,2,2023-03,62.96,,5.1,2.04,-15.83,1.38,"LEMONTREE,"
Easy Trip Planners Ltd.,EASEMYTRIP,Travel Services,7132.33,2,2023-03,82.63,7166.66,2022-03,235.37,105.92,2,2023-03,53.15,,19.28,0.21,53.16,62.42,"EASEMYTRIP,"
Mahindra Holidays & Resorts India Ltd.,MHRIL,"Hotel, Resort & Restaurants",6680.67,2,2023-03,756.04,7210.24,2023-03,2516.99,113.82,2,2023-06,78.53,,-12.18,-1.37,0,118.39,"MHRIL,"
Restaurant Brands Asia Ltd.,RBA,"Hotel, Resort & Restaurants",5687.81,2,2023-03,164.8,5697.41,2023-03,2054.28,-241.8,2,2023-03,0,,7.03,0.2,-26.32,-12.58,"RBA,"
