Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Cement & Cement Products,ACC,EQ,INE012A01025
Aavas Financiers Ltd.,Housing Finance Company,AAVAS,EQ,INE216P01012
Ambuja Cements Ltd.,Cement & Cement Products,AMBUJACEM,EQ,INE079A01024
Asian Paints Ltd.,Paints,ASIANPAINT,EQ,INE021A01026
Berger Paints India Ltd.,Paints,BERGEPAINT,EQ,INE463A01038
Blue Star Ltd.,Household Appliances,BLUESTARCO,EQ,INE472A01039
Crompton Greaves Consumer Electricals Ltd.,Household Appliances,CROMPTON,EQ,INE299U01018
DLF Ltd.,"Residential, Commercial Projects",DLF,EQ,INE271C01023
Dalmia Bharat Ltd.,Cement & Cement Products,DALBHARAT,EQ,INE00R701025
Dixon Technologies (India) Ltd.,Consumer Electronics,DIXON,EQ,INE935N01020
Godrej Properties Ltd.,"Residential, Commercial Projects",GODREJPROP,EQ,INE484J01027
Grasim Industries Ltd.,Cement & Cement Products,GRASIM,EQ,INE047A01021
Havells India Ltd.,Consumer Electronics,HAVELLS,EQ,INE176B01034
Housing Development Finance Corporation Ltd.,Housing Finance Company,HDFC,EQ,INE001A01036
Indiabulls Housing Finance Ltd.,Housing Finance Company,IBULHSGFIN,EQ,INE148I01020
J.K. Cement Ltd.,Cement & Cement Products,JKCEMENT,EQ,INE823G01014
KEI Industries Ltd.,Cables - Electricals,KEI,EQ,INE878B01027
Kajaria Ceramics Ltd.,Ceramics,KAJARIACER,EQ,INE217B01036
Kansai Nerolac Paints Ltd.,Paints,KANSAINER,EQ,INE531A01024
LIC Housing Finance Ltd.,Housing Finance Company,LICHSGFIN,EQ,INE115A01026
Macrotech Developers Ltd.,"Residential, Commercial Projects",LODHA,EQ,INE670K01029
Oberoi Realty Ltd.,"Residential, Commercial Projects",OBEROIRLTY,EQ,INE093I01010
Phoenix Mills Ltd.,"Residential, Commercial Projects",PHOENIXLTD,EQ,INE211B01039
Polycab India Ltd.,Cables - Electricals,POLYCAB,EQ,INE455K01017
Prestige Estates Projects Ltd.,"Residential, Commercial Projects",PRESTIGE,EQ,INE811K01011
Shree Cement Ltd.,Cement & Cement Products,SHREECEM,EQ,INE070A01015
The Ramco Cements Ltd.,Cement & Cement Products,RAMCOCEM,EQ,INE331A01037
UltraTech Cement Ltd.,Cement & Cement Products,ULTRACEMCO,EQ,INE481G01011
Voltas Ltd.,Household Appliances,VOLTAS,EQ,INE226A01021
Whirlpool of India Ltd.,Household Appliances,WHIRLPOOL,EQ,INE716A01013
