Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Dummy - Jio Financial Services Ltd.,Financial Services,DUMMYREL,EQ,DUM002A01018
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
