Sector: Information Technology,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Tata Consultancy Services Ltd.,TCS,IT - Software,1227739.8,2,2023-03,0,1216707.8,2023-03,225458,42303,2,2023-06,28.07,2.73,12.1,0,47.26,64.44,"TCS,"
Infosys Ltd.,INFY,IT - Software,556271.03,2,2023-03,0,544098.03,2023-03,146767,24108,2,2023-06,22.54,2.65,6.91,0,32.3,44.58,"INFY,"
HCL Technologies Ltd.,HCLTECH,IT - Software,299385.1,2,2023-03,2251,286912.1,2022-03,85651,13523,2,2023-06,19.82,2.1,4.34,0.06,22.22,26.63,"HCLTECH,"
Wipro Ltd.,WIPRO,IT - Software,208142.08,2,2023-03,15009.3,213963.38,2023-03,90487.6,11366.5,2,2023-06,17.86,2.47,3.06,0.19,16.01,18.21,"WIPRO,"
LTIMindtree Ltd.,LTIM,IT - Software,143222.73,2,2023-03,125.3,140416.03,2023-03,33183,4410.3,2,2023-06,36.3,1.14,8.3,0.01,29.2,38.27,"LTIM,"
Tech Mahindra Ltd.,TECHM,IT - Software,106320.49,2,2023-03,1578.2,103643.99,2023-03,53290.2,4857,2,2023-06,24.21,4.92,3.76,0.06,17.98,22.41,"TECHM,"
Zomato Ltd.,ZOMATO,e-Commerce,74518.82,2,2023-03,40.4,73542.42,2022-03,4192.4,-1222.8,2,2023-03,0,,3.83,0,-10.79,-9.83,"ZOMATO,"
Info Edge (India) Ltd.,NAUKRI,BPO/ITeS,59123.7,2,2023-03,2.42,58554.66,2022-03,1589.03,12882.23,2,2023-03,0,0,4.4,0,114.58,125.55,"NAUKRI,"
One97 Communications Ltd.,PAYTM,Fintech,48375.92,2,2023-03,2,41338.42,2022-03,4972.3,-2350.5,2,2023-06,0,,3.82,0,-24.41,-21.64,"PAYTM,"
Tata Elxsi Ltd.,TATAELXSI,IT - Software,44938.37,1,2023-03,0,43746.81,2023-03,3144.72,755.19,1,2023-06,59.18,2.3,19.76,0,40.97,51.8,"TATAELXSI,"
L&T Technology Services Ltd.,LTTS,IT - Software,42434.59,2,2023-03,0,41744.69,2023-03,8013.6,1174.1,2,2023-06,35.15,1.93,8.21,0,26.09,37.03,"LTTS,"
Mphasis Ltd.,MPHASIS,IT - Software,42426.03,2,2023-03,198.48,41571.06,2023-03,13798.5,1637.92,2,2023-06,25.99,1.86,5.22,0.03,22.49,29.1,"MPHASIS,"
FSN E-Commerce Ventures Ltd.,NYKAA,e-Commerce,41152.3,2,2023-03,460.36,41463.92,2022-03,3773.94,41.29,2,2023-03,0,,29.86,0.25,4.57,8.05,"NYKAA,"
