Sector: Infrastructure,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Larsen & Toubro Ltd.,LT,Engineering - Construction,372517.99,2,2023-03,118513.38,468511.77,2023-03,183340.7,12624.87,2,2023-06,33.08,4.5,4.05,1.33,14.78,12.98,"LT,"
GMR Airports Infrastructure Ltd.,GMRINFRA,Engineering - Construction,30475.49,2,2023-03,31943.48,58398.3,2022-03,4600.72,-752.31,2,2023-03,0,,31.46,-32.42,0,4.13,"GMRINFRA,"
Rail Vikas Nigam Ltd.,RVNL,Engineering - Construction,25218.32,2,2023-03,6407.87,29772.88,2022-03,19381.71,1182.69,2,2023-03,17.75,0.81,3.44,1.03,19.66,16.82,"RVNL,"
KEC International Ltd.,KEC,Engineering - Construction,16314.83,2,2023-03,3194.45,19165.12,2023-03,17281.71,176.03,2,2023-03,92.68,,4.33,0.85,4.76,12.15,"KEC,"
IRB Infrastructure Developers Ltd.,IRB,Engineering - Construction,16099.97,2,2023-03,16739.69,30422.52,2022-03,5803.7,361.4,2,2023-03,22.36,,1.2,1.27,3.71,9.05,"IRB,"
GR Infraprojects Ltd.,GRINFRA,Engineering - Construction,12410.52,2,2023-03,5678.98,17310.19,2022-03,8458.35,831.91,2,2023-03,8.5,0.17,1.97,1.09,18.93,16.42,"GRINFRA,"
Kalpataru Projects International Ltd.,KPIL,Transmission Towers / Equipments,10124.46,2,2023-03,3682.46,12747.05,2023-03,16361.44,435.02,2,2023-03,22.96,5.09,2.14,0.78,9.67,15.41,"KPIL,"
NCC Ltd.,NCC,Engineering - Construction,9351.77,2,2023-03,973.82,9616.32,2022-03,11137.96,494.03,2,2023-03,15.35,0.77,1.52,0.23,9.22,15.74,"NCC,"
PNC Infratech Ltd.,PNCINFRA,Engineering - Construction,8808.27,2,2023-03,6271.33,14373.25,2022-03,7021.69,580.43,2,2023-03,13.44,0.36,2.07,1.32,17.37,15.74,"PNCINFRA,"
Ircon International Ltd.,IRCON,Engineering - Construction,8755.26,2,2023-03,1504.21,5136.91,2022-03,7379.67,592.27,2,2023-03,11.44,0.84,1.68,0.3,13.06,17.37,"IRCON,"
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Engineering - Construction,7347.77,2,2023-03,2014.95,9267.54,2023-03,2015.01,-1174.96,2,2023-06,0,,-22.44,-8.68,-345.11,-65.41,"SWSOLAR,"
KNR Constructions Ltd.,KNRCON,Engineering - Construction,6869.16,2,2023-03,646.4,7295.36,2022-03,3605.82,366.39,2,2023-03,14.95,0.64,2.47,0.63,17.13,21.93,"KNRCON,"
Power Mech Projects Ltd.,POWERMECH,Engineering - Construction,6288.32,2,2023-03,475.14,6591.92,2022-03,2710.49,138.49,2,2023-03,29.97,1.79,4.91,0.51,14.22,17.7,"POWERMECH,"
H.G. Infra Engineering Ltd.,HGINFRA,Engineering - Construction,6098.71,2,2023-03,1906.75,7735,2022-03,3751.43,380.04,2,2023-03,12.37,0.26,3.18,0.82,30.42,28.43,"HGINFRA,"
ISGEC Heavy Engineering Ltd.,ISGEC,Engineering - Construction,5343.76,2,2023-03,1200.4,6333.65,2022-03,5499.34,114.96,2,2023-03,27.13,,2.31,0.57,5.55,7.81,"ISGEC,"
Techno Electric & Engineering Company Ltd.,TECHNOE,Engineering - Construction,5277.64,2,2023-03,,5131.48,2022-03,1070.34,263.89,2,2023-03,28.65,0.79,2.7,0,15.28,19.29,"TECHNOE,"
Man InfraConstruction Ltd.,MANINFRA,Engineering - Construction,4514.4,2,2023-03,205.88,4422.76,2023-03,1890.35,288.96,2,2023-06,14.94,0.48,3.84,0.19,29.65,33.59,"MANINFRA,"
Dilip Buildcon Ltd.,DBL,Engineering - Construction,3736.52,2,2023-03,6657.97,9968.49,2022-03,9566.43,-549.68,2,2023-03,0,,0.93,2.47,-15.82,2.69,"DBL,"
Nirlon Ltd.,500307,Engineering - Construction,3581.29,1,2023-03,1145.02,4703.32,2022-03,383.94,110.81,1,2023-03,22.68,1.35,8.91,2.47,21.06,14,"500307,"
Patel Engineering Ltd.,PATELENG,Engineering - Construction,3368.33,2,2023-03,1752.13,4908.31,2022-03,3397.45,68.63,2,2023-03,18.36,0.73,1.17,0.97,3,11.69,"PATELENG,"
ITD Cementation India Ltd.,ITDCEM,Engineering - Construction,3151.44,2,2023-03,724.74,3246.6,2022-03,3809.02,69.34,2,2023-03,25.3,3.7,2.54,0.46,6.31,15.08,"ITDCEM,"
Hindustan Construction Company Ltd.,HCC,Engineering - Construction,2923.17,2,2023-03,5294.52,7064.15,2022-03,10669.73,419.65,2,2023-03,0,0,-3.56,-2.28,0,72.78,"HCC,"
Ramky Infrastructure Ltd.,RAMKY,Engineering - Construction,2885.55,2,2023-03,1650.27,3673.08,2022-03,1458.66,40.02,2,2023-03,2.56,0.06,2.07,7.69,13,19.67,"RAMKY,"
Ashoka Buildcon Ltd.,ASHOKA,Engineering - Construction,2759.51,2,2023-03,1905.95,4139.51,2022-03,5945.8,771.41,2,2023-03,7.43,0.22,1.57,2.62,77.14,31.39,"ASHOKA,"
J Kumar Infraprojects Ltd.,JKIL,Engineering - Construction,2577.17,1,2023-03,516.37,2717.01,2022-03,3527.2,205.88,1,2023-03,9.39,0.67,1.1,0.21,10.36,15.51,"JKIL,"
Vindhya Telelinks Ltd.,VINDHYATEL,Engineering - Construction,2396.07,2,2023-03,661.36,3011.92,2022-03,1323.95,193.28,2,2023-03,12.88,4.96,0.7,0.19,6.78,9.02,"VINDHYATEL,"
Gensol Engineering Ltd.,GENSOL,Engineering - Construction,1932.42,2,2023-03,519.8,2452.22,2022-03,160.41,11.12,1,2023-03,72.54,1.29,10.82,1.78,26.9,22.64,"GENSOL,"
SEPC Ltd.,SEPC,Engineering - Construction,1815.77,2,2023-03,405.83,2171.26,2022-03,329.46,-263.7,2,2023-03,0,,1.6,1.33,-30.28,-5.38,"SEPC,"
Reliance Industrial Infrastructure Ltd.,RIIL,Engineering - Construction,1447.79,2,2023-03,0,1446.65,2023-03,68.05,17.57,2,2023-06,76.28,,3.34,0,4.06,4.56,"RIIL,"
Indian Hume Pipe Company Ltd.,INDIANHUME,Engineering - Construction,1341.28,1,2023-03,631.74,1925.57,2023-03,1542.88,55.7,1,2023-03,24.08,,1.78,0.91,8.28,11.67,"INDIANHUME,"
Likhitha Infrastructure Ltd.,LIKHITHA,Engineering - Construction,1153.12,2,2023-03,,1120.14,2022-03,257.21,46.12,2,2023-03,19.12,,4.61,0,26.66,35.84,"LIKHITHA,"
K&R Rail Engineering Ltd.,514360,Engineering - Construction,1127.47,1,2023-03,,1127.47,2022-03,194.65,6.06,1,2023-03,214.06,4.52,16.01,0.24,16.24,15.89,"514360,"
GE Power India Ltd.,GEPIL,Engineering - Construction,1057.82,2,2023-03,291.55,1127.21,2022-03,2620.44,-291.82,2,2023-03,0,,4.55,0.43,-35.43,-17.4,"GEPIL,"
Vascon Engineers Ltd.,VASCONEQ,Engineering - Construction,957.93,2,2023-03,134.78,984.59,2022-03,656.86,35.92,2,2023-03,9.64,0.12,1.05,0.2,4.82,6.93,"VASCONEQ,"
KP Energy Ltd.,539686,Engineering - Construction,806.28,2,2023-03,40.27,833.2,2022-03,250.38,18.42,2,2023-03,18.36,10.55,6.27,0.37,24.09,29,"539686,"
BMW Industries Ltd.,542669,Engineering - Construction,732.43,2,2023-03,219.28,937.57,2022-03,447.38,34.78,2,2023-03,13.45,27.43,1.22,0.46,6.49,8.68,"542669,"
Jyoti Structures Ltd.,JYOTISTRUC,Transmission Towers / Equipments,576.79,2,2023-03,1803.3,2347.84,2023-03,229.23,-4.07,2,2023-03,0,0,-244.09,71.13,-6.72,-0.2,"JYOTISTRUC,"
Om Infra Ltd.,OMINFRAL,Engineering - Construction,489.51,2,2023-03,125.43,540.28,2022-03,313.03,8.48,2,2023-03,38.15,2.5,0.72,0.21,1.32,5.96,"OMINFRAL,"
GPT Infraprojects Ltd.,GPTINFRA,Engineering - Construction,440.42,2,2023-03,244.39,659.26,2023-03,809.15,29.77,2,2023-03,14.07,1.48,1.59,0.88,11.16,14.48,"GPTINFRA,"
BGR Energy Systems Ltd.,BGRENERGY,Engineering - Construction,418.61,2,2023-03,1841.4,1963.48,2022-03,1220.7,-185.97,2,2023-03,0,,4.54,3.22,-27.48,4.42,"BGRENERGY,"
Adhbhut Infrastructure Ltd.,539189,Engineering - Construction,344.85,1,2023-03,2.62,347.47,2022-03,2.62,-1.06,1,2023-03,0,,-49.25,0.51,-20.39,-11.4,"539189,"
Rudrabhishek Enterprises Ltd.,REPL,Engineering - Construction,324.74,2,2023-03,9.19,329.38,2022-03,76.68,14.9,2,2023-03,27.01,0.99,3.1,0.11,17.24,17.64,"REPL,"
Salasar Exteriors & Contour Ltd.,SECL,Engineering - Construction,313.99,1,2023-03,13.9,327.89,2022-03,2.28,2.81,1,2023-03,385.74,,26.26,1.25,28.89,17.63,"SECL,"
Last Mile Enterprises Ltd.,526961,Engineering - Construction,267.1,1,2023-03,11.17,275.02,2022-03,,1.7,1,2023-03,58.38,0.37,16,1.12,36.57,15.04,"526961,"
Bharat Road Network Ltd.,BRNL,Engineering - Construction,259.15,2,2023-03,1412.68,1470.47,2022-03,216.4,-388.67,2,2023-03,0,,0.85,2.93,-55.71,-10.18,"BRNL,"
Generic Engineering Construction And Projects Ltd.,GENCON,Engineering - Construction,255.42,1,2023-03,59.23,300.52,2022-03,260.37,13.92,1,2023-03,16.68,0.31,1.04,0.27,7.53,10.62,"GENCON,"
MEP Infrastructure Developers Ltd.,MEP,Engineering - Construction,230.59,2,2023-03,408.33,624.06,2022-03,967.37,-225.47,2,2023-03,0,,-0.64,-18.28,0,5.34,"MEP,"
