Sector: Logistics,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Port,163252.5,2,2023-03,50518.43,209522.15,2023-03,20851.91,5392.75,2,2023-03,30.74,2.69,3.58,1.11,12.84,8.79,"ADANIPORTS,"
Container Corporation Of India Ltd.,CONCOR,Logistics,41995.61,2,2023-03,55.49,38948.98,2022-03,7652.73,1052.27,2,2023-03,35.7,8.43,3.73,0.01,10.05,13.83,"CONCOR,"
Delhivery Ltd.,DELHIVERY,Courier  Services,29460.11,2,2023-03,198.87,29013.53,2022-03,6882.29,-1011,2,2023-03,0,,3.21,0.06,-24.64,-19.68,"DELHIVERY,"
Blue Dart Express Ltd.,BLUEDART,Courier  Services,16442.75,2,2023-03,250,16597.23,2023-03,5172.22,370.53,2,2023-06,52.62,2.54,13.28,0.21,36.14,45.98,"BLUEDART,"
Aegis Logistics Ltd.,AEGISCHEM,Logistics,13034.39,2,2023-03,995.36,12764.63,2023-03,8627.21,510.7,2,2023-06,27.43,1.48,3.56,0.28,17.88,20.68,"AEGISCHEM,"
The Great Eastern Shipping Company Ltd.,GESHIP,Shipping,10945.96,2,2023-03,3623.04,10769.65,2023-03,5690.46,2575.01,2,2023-03,4.25,0.06,1.07,0.35,28.1,21.8,"GESHIP,"
Allcargo Logistics Ltd.,ALLCARGO,Logistics,7510.91,2,2023-03,705.16,6907.31,2022-03,20072.07,964.6,2,2023-03,11.98,0.4,2.68,0.58,35.43,30.28,"ALLCARGO,"
VRL Logistics Ltd.,VRLLOG,Logistics,6427.62,1,2023-03,179.09,6531.48,2023-03,2648.52,166.14,1,2023-03,38.69,3.12,6.59,0.18,20.42,26.54,"VRLLOG,"
TCI Express Ltd.,TCIEXP,Logistics,6032.98,2,2023-03,0.73,6017.03,2023-03,1241.01,139.28,2,2023-03,43.2,,10.16,0,23.51,31.21,"TCIEXP,"
Transport Corporation Of India Ltd.,TCI,Logistics,5771.21,2,2023-03,62.52,5649.16,2023-03,3782.57,320.59,2,2023-03,18.19,0.86,3.41,0.04,20.59,22.96,"TCI,"
Gujarat Pipavav Port Ltd.,GPPL,Port,5769.86,2,2023-03,0,4875.06,2023-03,916.95,313.14,2,2023-03,18.39,1.91,2.49,0,13.75,18.5,"GPPL,"
Shipping Corporation Of India Ltd.,SCI,Shipping,4555.51,2,2023-03,2582.94,6584.85,2022-03,4994.93,865.22,2,2023-03,5.24,0.14,0.66,0.35,10.02,8.88,"SCI,"
Gateway Distriparks Ltd.,GATEWAY,Logistics,3888.23,2,2023-03,433,4245.24,2022-03,1373.66,223.03,2,2023-03,16.22,0.39,2.19,0.31,14.34,13.15,"GATEWAY,"
Mahindra Logistics Ltd.,MAHLOG,Logistics,2607.35,2,2023-03,401.4,2882.52,2023-03,5128.29,27.42,2,2023-06,623.09,,4.8,0.72,5.03,11.11,"MAHLOG,"
GATI Ltd.,GATI,Logistics,1893.39,2,2023-03,124.5,1921.37,2022-03,1489.94,-4.43,2,2023-03,0,,3.08,0.28,-0.83,3.55,"GATI,"
Seamec Ltd.,SEAMECLTD,Shipping,1811.15,2,2023-03,137.03,1793.58,2023-03,437.24,33.56,2,2023-03,54.79,0.54,2.29,0.17,4.36,3.87,"SEAMECLTD,"
JITF Infralogistics Ltd.,JITFINFRA,Logistics,1351.89,2,2023-03,3300.96,4467.04,2022-03,1234.79,-128.9,2,2023-03,0,,-1.55,-3.82,0,6.35,"JITFINFRA,"
Lancer Container Lines Ltd.,539841,Logistics,1192.16,2,2023-03,268.49,1460.65,2022-03,641.5,28.95,2,2023-03,22.19,,5.87,0.34,49.15,51.57,"539841,"
Dredging Corporation Of India Ltd.,DREDGECORP,Shipping,1019.62,1,2023-03,262.24,1250.39,2022-03,799.09,3.42,1,2023-03,81.19,,0.72,0.2,0.24,0.95,"DREDGECORP,"
Navkar Corporation Ltd.,NAVKARCORP,Logistics,899.2,1,2023-03,43.92,851.64,2023-03,441.52,73,1,2023-03,12.32,,0.45,0.02,3.78,3.79,"NAVKARCORP,"
