Sector: Media & Entertainment,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Zee Entertainment Enterprises Ltd.,ZEEL,TV Broadcasting & Software Production,23542.33,2,2023-03,5.89,22744.2,2022-03,8189.3,955.8,2,2023-03,492.62,255.46,2.2,0,9.12,13.68,"ZEEL,"
Sun TV Network Ltd.,SUNTV,TV Broadcasting & Software Production,21392.88,2,2023-03,,20794.31,2022-03,3584.82,1641.91,2,2023-03,12.54,1.28,2.31,0,21.59,29.31,"SUNTV,"
PVR Inox Ltd.,PVRINOX,"Film Production, Distribution & Entertainment",14974.28,2,2023-03,1792.64,16405.32,2022-03,1331,-488.51,2,2023-03,0,,2.04,1.11,-30.69,-6.02,"PVRINOX,"
Saregama India Ltd.,SAREGAMA,"Film Production, Distribution & Entertainment",7642.97,2,2023-03,,7129.09,2022-03,580.63,152.65,2,2023-06,40.91,0.52,5.15,0,18.32,25.04,"SAREGAMA,"
TV18 Broadcast Ltd.,TV18BRDCST,TV Broadcasting & Software Production,6905.44,2,2023-03,4132.47,10810.54,2022-03,5526.18,926.24,2,2023-06,54.44,0.55,1.45,0.14,20.65,20.03,"TV18BRDCST,"
Network 18 Media & Investments Ltd.,NETWORK18,TV Broadcasting & Software Production,6133.02,2,2023-03,5814.89,11717.6,2022-03,5880.19,837.65,2,2023-06,0,0,8.99,2.86,128.74,35.26,"NETWORK18,"
D.B. Corp Ltd.,DBCORP,Printing And Publishing,3915.17,2,2023-03,32.47,3800.47,2022-03,1768.54,142.56,2,2023-06,18.05,,1.93,0.01,7.73,11.25,"DBCORP,"
Tips Industries Ltd.,TIPSINDLTD,"Film Production, Distribution & Entertainment",3737.86,1,2023-03,0,3640.93,2023-03,186.78,76.52,1,2023-06,43.24,0.48,22.89,0,64.15,88.8,"TIPSINDLTD,"
Prime Focus Ltd.,PFOCUS,"Film Production, Distribution & Entertainment",3443.17,2,2023-03,3885.73,7172.03,2022-03,3385.91,-173.89,2,2023-03,23.38,1.08,80.01,-20.21,0,9.36,"PFOCUS,"
Navneet Education Ltd.,NAVNETEDUL,Printing And Publishing,3229.19,2,2023-03,276.21,3477.91,2023-03,1696.83,203.76,2,2023-03,15.93,8.06,2.83,0.24,19.42,25.03,"NAVNETEDUL,"
Dish TV India Ltd.,DISHTV,TV Broadcasting & Software Production,3224.04,2,2023-03,72.5,3115.12,2022-03,2802.49,-1867.23,2,2023-03,0,0,-4.09,0.4,-103.31,-85.54,"DISHTV,"
Jagran Prakashan Ltd.,JAGRAN,Printing And Publishing,2198.31,2,2023-03,368.88,2511.18,2022-03,1615.95,216.55,2,2023-03,11.01,,1.26,0.13,10.48,13.4,"JAGRAN,"
Den Networks Ltd.,DEN,TV Broadcasting & Software Production,2010.07,2,2023-03,,676.52,2022-03,1225.6,173.17,2,2023-06,7.37,0.3,0.62,0,6.05,6.15,"DEN,"
MPS Ltd.,MPSLTD,Printing And Publishing,1885.57,2,2023-03,0,1728.03,2023-03,501.05,109.19,2,2023-03,17.27,1.87,4.45,0,27.62,37.45,"MPSLTD,"
GTPL Hathway Ltd.,GTPL,TV Broadcasting & Software Production,1510.94,2,2023-03,140.07,1439.09,2022-03,2414.12,219.16,2,2023-06,14.15,0.36,1.33,0.11,22.92,27.87,"GTPL,"
New Delhi Television Ltd.,NDTV,TV Broadcasting & Software Production,1448.35,2,2023-03,3.04,1355.03,2023-03,385.86,52.93,2,2023-06,83.46,4.04,5.35,0.01,20.99,25.19,"NDTV,"
Media Matrix Worldwide Ltd,512267,"Film Production, Distribution & Entertainment",1440.85,2,2023-03,,1425.15,2022-03,581.54,2.41,2,2023-03,0,,10.27,0.33,1.61,4.1,"512267,"
Kokuyo Camlin Ltd.,KOKUYOCMLN,Printing & Stationery,1436.35,1,2023-03,55.81,1483.67,2023-03,774.94,24.45,1,2023-03,58.75,2.94,5.47,0.21,9.74,12.6,"KOKUYOCMLN,"
TV Today Network Ltd.,TVTODAY,TV Broadcasting & Software Production,1226.19,2,2023-03,,1162.36,2022-03,930.1,181.51,2,2023-03,13.87,0.98,1.48,0,16.9,22.9,"TVTODAY,"
Repro India Ltd.,REPRO,Printing And Publishing,1051.19,2,2023-03,65.58,1111.74,2023-03,421.95,8.73,2,2023-03,122.02,,3.61,0.24,3.29,5.73,"REPRO,"
Linc Ltd.,LINC,Printing & Stationery,1016.3,1,2023-03,,1003.89,2022-03,354.96,8.13,1,2023-03,27.18,,5.73,0.02,5.86,8.03,"LINC,"
The Sandesh Ltd.,SANDESH,Printing And Publishing,746.5,2,2023-03,0,696.49,2022-03,308.84,89.83,2,2023-03,7.46,1.93,0.72,0,9.77,12.87,"SANDESH,"
S Chand And Company Ltd.,SCHAND,Printing And Publishing,707.52,2,2023-03,126.8,753.62,2022-03,480.93,8.04,2,2023-03,10.72,,0.79,0.19,0.98,3.18,"SCHAND,"
Entertainment Network (India) Ltd.,ENIL,TV Broadcasting & Software Production,701.95,2,2023-03,,679.78,2022-03,323.3,-36.21,2,2023-03,0,,0.94,0,-4.63,-3.42,"ENIL,"
Zee Media Corporation Ltd.,ZEEMEDIA,TV Broadcasting & Software Production,688.6,2,2023-03,195.84,870.47,2022-03,866.86,-117.72,2,2023-03,0,0,1.78,0.52,-25.27,-4.6,"ZEEMEDIA,"
HT Media Ltd.,HTMEDIA,Printing And Publishing,536.48,2,2023-03,707.27,1136.07,2022-03,1500.38,21.47,2,2023-06,0,,0.3,0.39,1.03,2.41,"HTMEDIA,"
