Sector: Mining,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Coal India Ltd.,COALINDIA,Mining & Minerals,140048,2,2023-03,4114.73,104240.88,2022-03,109936.14,17378.42,2,2023-03,4.97,0.37,2.45,0.08,43.63,54.38,"COALINDIA,"
NMDC Ltd.,NMDC,Mining & Minerals,32969.32,2,2023-03,415.98,26287.55,2022-03,25881.73,9391.99,2,2023-03,5.89,0.2,1.46,0.1,28.96,37,"NMDC,"
KIOCL Ltd.,KIOCL,Mining & Minerals,11626.28,1,2023-03,411.65,11264.64,2022-03,3006.45,313.41,1,2023-03,0,0,5.81,0,15.18,20.46,"KIOCL,"
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Mining & Minerals,5663.58,2,2023-03,,5565.5,2022-03,2711.29,403.49,2,2023-03,4.66,1.04,0.98,0,9.14,16.69,"GMDCLTD,"
MOIL Ltd.,MOIL,Mining & Minerals,3742.09,1,2023-03,,2929.59,2022-03,1436.3,376.98,1,2023-03,14.93,3.81,1.67,0,15.2,21.12,"MOIL,"
Sandur Manganese & Iron Ores Ltd.,504918,Mining & Minerals,3304.03,1,2023-03,203.57,2994.21,2022-03,2248.74,675.12,2,2023-03,12.2,0.19,1.71,0.19,50.91,57.37,"504918,"
The Orissa Minerals Development Company Ltd.,ORISSAMINE,Mining & Minerals,2349.21,1,2022-09,260.16,2531.13,2022-03,82.68,-14.49,1,2023-03,0,,-180.56,94.43,-134.21,4.93,"ORISSAMINE,"
Ashapura Minechem Ltd.,ASHAPURMIN,Mining & Minerals,1529.19,2,2023-03,756.2,2207.21,2022-03,1277.84,86.53,2,2023-03,13.06,0.29,2.33,1.22,18.18,13.8,"ASHAPURMIN,"
Raghav Productivity Enhancers Ltd.,539837,Mining & Minerals,1207.65,2,2023-03,9.99,1215.1,2023-03,137.39,25.22,2,2023-06,47.25,,8.72,0.08,20.86,26.22,"539837,"
Deccan Gold Mines Ltd.,512068,Mining & Minerals,978.66,2,2023-03,3.35,982.01,2022-03,0.04,-2.66,2,2023-03,0,0,6.31,0.01,-6.13,-6.08,"512068,"
20 Microns Ltd.,533022,Mining & Minerals,419.73,2,2023-03,101.92,491.71,2023-03,701.69,41.96,2,2023-06,9.65,0.62,1.36,0.35,15.4,19.54,"533022,"
RAW Edge Industrial Solutions Ltd.,541634,Mining & Minerals,46.76,1,2023-03,23.07,69.84,2022-03,44.74,-0.57,1,2023-03,0,,2.08,1.08,-2.49,3.25,"541634,"
Inani Marbles & Industries Ltd.,531129,Mining & Minerals,36.38,1,2023-03,28.61,64.99,2022-03,81.55,3.25,1,2023-03,64.51,4.46,0.71,0.57,6.57,8.63,"531129,"
Kachchh Minerals Ltd.,531778,Mining & Minerals,11.59,1,2023-03,0.63,12.21,2022-03,1.17,0.17,1,2023-03,0,0,8.28,0.41,12.72,10.86,"531778,"
Rajdarshan Industries Ltd.,ARENTERP,Mining & Minerals,9.32,2,2023-03,,5.66,2022-03,0.44,0.54,2,2023-03,31.61,0.44,0.45,0,2.7,2.67,"ARENTERP,"
