Sector: Non - Ferrous Metals,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Hindustan Zinc Ltd.,HINDZINC,Metal - Non Ferrous,135252.46,2,2023-03,11841,145681.46,2022-03,29440,9629,2,2023-06,14.41,,9.08,0.09,28.92,37.44,"HINDZINC,"
Vedanta Ltd.,VEDL,Metal - Non Ferrous,103616.92,2,2023-03,79883,174245.92,2023-03,147308,14506,2,2023-06,11.78,1.53,2.43,2.04,27.76,21.29,"VEDL,"
Hindalco Industries Ltd.,HINDALCO,Metal - Non Ferrous,101428.12,2,2023-03,58335,144395.12,2022-03,195059,14195,2,2023-03,10.05,0.21,1.07,0.84,19.59,16.87,"HINDALCO,"
National Aluminium Company Ltd.,NATIONALUM,Aluminium & Aluminium Products,17512.28,2,2023-03,47.75,15442.53,2022-03,14180.81,2951.41,2,2023-03,12.21,0.37,1.33,0,25.41,34.14,"NATIONALUM,"
Hindustan Copper Ltd.,HINDCOPPER,Metal - Non Ferrous,12358.57,2,2023-03,156.38,12213.91,2022-03,1821.93,374.08,2,2023-03,41.83,,5.94,0.21,24.93,18.15,"HINDCOPPER,"
Gravita India Ltd.,GRAVITA,Metal - Non Ferrous,4542.35,2,2023-03,344.46,4848.69,2022-03,2215.87,148.45,2,2023-06,21.56,0.64,7.08,1,45.27,31.19,"GRAVITA,"
Shivalik Bimetal Controls Ltd.,SBCL,Metal - Non Ferrous,4107.76,2,2023-03,58.16,4148.01,2022-03,323.99,51.6,2,2023-03,51.92,1.12,15.47,0.3,31.17,34.79,"SBCL,"
Hardwyn India Ltd.,HARDWYN,Aluminium & Aluminium Products,1457.28,1,2023-03,4.56,1460.37,2022-03,84.56,3.41,1,2023-03,161.29,,3.82,0.43,24.99,27.32,"HARDWYN,"
Bharat Wire Ropes Ltd.,BHARATWIRE,Metal - Non Ferrous,1422.27,2,2023-03,181.69,1595.24,2023-03,589.06,62.23,2,2023-03,22.88,,2.44,0.32,12.31,16.25,"BHARATWIRE,"
Ram Ratna Wires Ltd.,RAMRAT,Metal - Non Ferrous,1377.42,2,2023-03,265.94,1633.06,2022-03,2288.57,54.18,2,2023-03,30.56,1.62,4.4,0.99,22.97,18.18,"RAMRAT,"
Arfin India Ltd.,539151,Aluminium & Aluminium Products,657.95,1,2023-03,112.15,760.98,2022-03,526.11,9.19,1,2023-03,63.77,,7.47,1.45,12.71,12.14,"539151,"
