Sector: Plastic Products,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Astral Ltd.,ASTRAL,Plastic Products,51221.67,2,2023-03,77.3,50616.87,2023-03,5158.5,459.5,2,2023-03,112.18,5.28,18.92,0.03,18.23,25.16,"ASTRAL,"
Supreme Industries Ltd.,SUPREMEIND,Plastic Products,42714.06,2,2023-03,0,41967.98,2023-03,9201.59,865.33,2,2023-06,49.55,3.32,9.76,0,20.99,27.15,"SUPREMEIND,"
Finolex Industries Ltd.,FINPIPE,Plastic Products,12378.51,2,2023-03,526.41,12844.32,2022-03,4647.32,1052.8,2,2023-06,46.54,3.39,2.47,0.07,29.8,37.06,"FINPIPE,"
Prince Pipes and Fittings Ltd.,PRINCEPIPE,Plastic Products,7297.03,1,2023-03,58.13,7230.76,2022-03,2656.83,249.4,1,2023-03,60.1,2.19,5.35,0.12,21.63,27.58,"PRINCEPIPE,"
EPL Ltd.,EPL,Plastic Products,7215.41,2,2023-03,768.6,7739.61,2023-03,3694.1,230.7,2,2023-03,31.83,6.09,3.69,0.39,12.28,12.8,"EPL,"
Responsive Industries Ltd.,RESPONIND,Plastic Products,5262.18,2,2023-03,257.13,5465.18,2022-03,1103.42,0.16,2,2023-06,84.27,,5.06,0.24,0.02,2.38,"RESPONIND,"
Nilkamal Ltd.,NILKAMAL,Plastic Products,4096.01,2,2023-03,188.7,4260.67,2023-03,3130.88,134,2,2023-03,30.78,18.74,3.14,0.14,10.65,15.07,"NILKAMAL,"
Polyplex Corporation Ltd.,POLYPLEX,Plastic Products,3857.19,2,2023-03,786.84,3664,2022-03,6624.4,964.83,2,2023-03,11.08,0.42,1.11,0.28,30.3,29.08,"POLYPLEX,"
Mold-Tek Packaging Ltd.,MOLDTKPAC,Plastic Products,3386.62,2,2023-03,47.27,3427.47,2022-03,631.47,63.65,1,2023-03,42.11,1.97,6.06,0.1,18.77,22.17,"MOLDTKPAC,"
Jai Corp Ltd.,JAICORPLTD,Plastic Products,3193.35,2,2023-03,1.51,3189.39,2022-03,720.09,51.66,2,2023-03,0,0,2.23,0,3.63,4.65,"JAICORPLTD,"
Tarsons Products Ltd.,TARSONS,Plastic Products,3184.4,2,2023-03,110.64,3235.07,2022-03,300.79,100.66,1,2023-03,39.45,,5.59,0.04,27.42,35.28,"TARSONS,"
Uflex Ltd.,UFLEX,Plastic Products,3078.38,2,2023-03,5494.86,7481.86,2023-03,14662.51,480.76,2,2023-03,6.41,0.42,0.41,0.73,6.78,9.32,"UFLEX,"
Time Technoplast Ltd.,TIMETECHNO,Plastic Products,3074.47,2,2023-03,810.24,3783.32,2022-03,3649.84,192.2,2,2023-03,14.03,2.79,1.36,0.4,9.71,12.54,"TIMETECHNO,"
Jain Irrigation Systems Ltd.,JISLJALEQS,Plastic Products,2969.56,2,2023-03,3882.83,6711.47,2022-03,7119.47,328.63,2,2023-03,3.59,,0.56,1.83,10,9.8,"JISLJALEQS,"
Apollo Pipes Ltd.,APOLLOPIPE,Plastic Products,2841.27,1,2023-03,43.66,2850.91,2022-03,784.08,49.76,1,2023-06,97.94,3.77,6.03,0.1,13.19,16.68,"APOLLOPIPE,"
Jindal Poly Films Ltd.,JINDALPOLY,Plastic Products,2744.53,2,2023-03,4084.05,6767.33,2022-03,5877.58,1196.23,2,2023-03,8.68,0.19,0.66,0.31,36.95,38.82,"JINDALPOLY,"
Kingfa Science & Technology (India) Ltd.,KINGFA,Plastic Products,2706.93,1,2023-03,38.28,2721,2022-03,1047.71,30.63,1,2023-03,33.25,0.97,5.81,0.11,8.3,11.02,"KINGFA,"
Garware Hi-Tech Films Ltd.,GRWRHITECH,Plastic Products,2268.41,2,2023-03,140.79,2338.74,2022-03,1302.63,167.18,2,2023-03,13.65,0.28,1.22,0.12,10.21,13.74,"GRWRHITECH,"
