Sector: Power,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
NTPC Ltd.,NTPC,Power Generation/Distribution,203629.99,2,2023-03,219805.18,418486.64,2022-03,131387.21,16960.29,2,2023-03,11.75,1.27,1.39,1.55,12.99,9.24,"NTPC,"
Power Grid Corporation Of India Ltd.,POWERGRID,Power Generation/Distribution,180141.07,2,2023-03,126594.9,299351.39,2022-03,41616.34,16824.07,2,2023-03,11.88,0.88,2.17,1.77,23.02,13.04,"POWERGRID,"
Adani Green Energy Ltd.,ADANIGREEN,Power Generation/Distribution,172936.75,2,2023-03,54271,225223.75,2023-03,7792,973,2,2023-03,177.55,2.96,29.41,9.23,27.52,8.46,"ADANIGREEN,"
Adani Power Ltd.,ADANIPOWER,Power Generation/Distribution,99721.16,2,2023-03,42252.05,140099.56,2023-03,38773.3,10726.64,2,2023-03,9.3,0.19,3.34,1.41,44.16,15.77,"ADANIPOWER,"
Adani Energy Solutions Ltd.,ADANITRANS,Power Generation/Distribution,90895.92,2,2023-03,34198.84,123390.62,2023-03,13292.72,1280.6,2,2023-03,72.35,37.88,7.79,2.93,13.83,10.5,"ADANITRANS,"
Tata Power Company Ltd.,TATAPOWER,Power Generation/Distribution,74946.69,2,2023-03,48974.43,112714.59,2023-03,55109.08,3809.67,2,2023-03,22.46,3.18,2.6,1.7,14.87,13.3,"TATAPOWER,"
NHPC Ltd.,NHPC,Power Generation/Distribution,50446.16,2,2023-03,29487.89,77240.37,2022-03,9188.78,3774.33,2,2023-03,12.83,0.83,1.37,0.75,11.11,6.48,"NHPC,"
JSW Energy Ltd.,JSWENERGY,Power Generation/Distribution,48098.54,2,2023-03,24817.22,68901.88,2023-03,10331.81,1480.12,2,2023-06,39.84,1.79,2.55,1.34,8.24,7.99,"JSWENERGY,"
Torrent Power Ltd.,TORNTPOWER,Power Generation/Distribution,32350.32,2,2023-03,10496.07,42502.87,2023-03,25694.12,2164.67,2,2023-03,15.28,0.87,2.94,0.95,20.66,19.04,"TORNTPOWER,"
SJVN Ltd.,SJVN,Power Generation/Distribution,21932.19,2,2023-03,13992.95,32193.7,2022-03,2417,989.8,2,2023-03,16.01,,1.58,0.52,7.63,8.81,"SJVN,"
NLC India Ltd.,NLCINDIA,Power Generation/Distribution,16480.18,2,2023-03,22305.72,38534.45,2022-03,11947.94,1115.13,2,2023-03,11.82,,1.09,1.55,8.06,9.32,"NLCINDIA,"
Indian Energy Exchange Ltd.,IEX,Power Generation/Distribution,10941.07,2,2023-03,,10876.46,2022-03,431.04,307.19,2,2023-06,35,,12.53,0,51.04,66,"IEX,"
CESC Ltd.,CESC,Power Generation/Distribution,9986.85,2,2023-03,14062.45,21460.95,2023-03,14246.35,1397.33,2,2023-03,7.44,,0.92,1.29,13.12,11.9,"CESC,"
Reliance Infrastructure Ltd.,RELINFRA,Power Generation/Distribution,6501.08,2,2023-03,11447.55,16572.21,2023-03,21339.61,-2473.04,2,2023-03,0,,-0.49,-0.86,0,-5.63,"RELINFRA,"
Reliance Power Ltd.,RPOWER,Power Generation/Distribution,6021.15,2,2023-03,21236.03,26606.02,2023-03,7542.69,-361.36,2,2023-03,0,,0.52,1.84,-3.13,6.58,"RPOWER,"
Nava Ltd.,NAVA,Power Generation/Distribution,5301.25,2,2023-03,3066.52,7932.26,2023-03,3528.15,1220.17,2,2023-03,5.71,0.18,0.88,0.51,22.23,18.85,"NAVA,"
