Sector: Textile,
Date: 29-Jul-2023,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: anjanr@wealthwisers.in,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),Year Ending,Net Sales (Rs. Cr.),Profit After Tax(Rs. Cr.),TTM Statement,TTM Ending,Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Page Industries Ltd.,PAGEIND,Textile,41612.04,1,2023-03,248.2,41852.13,2023-03,5000.61,571.25,1,2023-03,72.84,6.95,30.35,0.18,46.45,59.14,"PAGEIND,"
Vedant Fashions Ltd.,MANYAVAR,Textile,30123.34,2,2023-03,,30113.33,2022-03,1040.84,314.91,2,2023-06,71.71,2.95,20.2,0,29.07,41.53,"MANYAVAR,"
K.P.R. Mill Ltd.,KPRMILL,Textile,21903.44,2,2023-03,1348.09,23138.87,2023-03,6185.88,814.1,2,2023-03,26.91,1.18,5.91,0.36,23.62,24.67,"KPRMILL,"
Trident Ltd.,TRIDENT,Textile - Spinning,16393.69,2,2023-03,1374.11,17402.81,2023-03,6332.26,441.61,2,2023-06,40.5,3.82,3.83,0.33,10.99,12,"TRIDENT,"
Lakshmi Machine Works Ltd.,LAXMIMACH,Textile - Machinery,14859.2,2,2023-03,0,14097.82,2023-03,4719.15,384.02,2,2023-03,38.71,3.25,6.36,0,17.74,23.99,"LAXMIMACH,"
Raymond Ltd.,RAYMOND,Textile - Weaving,12648.34,2,2023-03,2099.87,14422.46,2023-03,8214.72,536.96,2,2023-03,23.9,0.58,4.36,0.72,20.44,21.11,"RAYMOND,"
Vardhman Textiles Ltd.,VTL,Textile,10462.62,2,2023-03,1677.46,11765.86,2022-03,9622.34,1551.23,2,2023-03,13.15,1.38,1.22,0.26,21.93,23.74,"VTL,"
Welspun India Ltd.,WELSPUNIND,Textile,9748.21,2,2023-03,2350.4,11917.24,2022-03,9311.47,606.58,2,2023-03,49.03,,2.5,0.8,15.93,14.72,"WELSPUNIND,"
Alok Industries Ltd.,ALOKINDS,Textile,7363.45,2,2023-03,24151.34,31455.14,2022-03,7309.5,-207.62,2,2023-06,0,0,-0.39,-1.36,0,4.13,"ALOKINDS,"
Garware Technical Fibres Ltd.,GARFIBRES,Textile,6345.97,2,2023-03,132.86,6433.01,2022-03,1189.4,164.78,2,2023-03,36.84,2.57,6.24,0.08,18.5,23.13,"GARFIBRES,"
Jindal Worldwide Ltd.,JINDWORLD,Textile,6184.05,2,2023-03,837.37,6709.51,2023-03,2070.01,115.72,2,2023-03,53.55,3.67,9.53,1.29,19.52,16.07,"JINDWORLD,"
Swan Energy Ltd.,SWANENERGY,Textile,5770.55,2,2023-03,4764.84,10333.71,2022-03,487.2,-157.89,2,2023-03,0,,2.55,3.35,-15.26,0.11,"SWANENERGY,"
Lux Industries Ltd.,LUXIND,Textile,4681.41,2,2023-03,240.21,4894.38,2022-03,2295.88,338.06,2,2023-03,32.96,,3.23,0.25,29.21,34.09,"LUXIND,"
Kewal Kiran Clothing Ltd.,KKCL,Textile,4258.61,2,2023-03,50.82,4138.92,2022-03,607.61,81.8,2,2023-03,36.07,18.33,7.85,0.16,17.96,21.28,"KKCL,"
PDS Ltd.,PDSL,Textile,4243.57,2,2023-03,600.75,4115.19,2023-03,10577,326.77,2,2023-06,17.23,0.16,4.09,0.59,34.95,28.31,"PDSL,"
Indo Count Industries Ltd.,ICIL,Textile,4129.43,2,2023-03,840.86,4862.31,2022-03,2842.02,358.61,2,2023-03,14.89,1.68,2.3,0.82,24.99,22.49,"ICIL,"
Arvind Ltd.,ARVIND,Textile,3373.32,2,2023-03,1403.77,4700.13,2023-03,8382.48,416.7,2,2023-06,9.07,11.25,0.99,0.42,13.26,14.36,"ARVIND,"
Gokaldas Exports Ltd.,GOKEX,Textile,3212.79,2,2023-03,35.45,3224.25,2022-03,1790.32,117.08,2,2023-03,18.65,0.53,3.64,0.09,24.17,22.06,"GOKEX,"
